aUsers,aSet,aType,a1_Assign,a1_Opt12,a2_Compare,a2_EU,a2_CompareAnswers,a3_Estimate,a3_Answers1,a3_Answers2,a3_Answers3,a3_Answers4,a3_Answers5,a3_Answers6
17,3,IPPDiscrete,56/31/27/12/77/17,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,12/16/83/73/51/68,E/E/U/E/E/U,max/min/min/max/max/min,68/75/78/79/21/64,63/27/54/58/24/68,40/3/85/24/75/63,64/78/69/27/17/14,27/4/79/54/9/72,48/34/50/72/26/21,78/11/81/64/17/40
18,3,IPPContinuous,56/31/27/12/77/17,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,12/16/83/73/51/68,E/E/U/E/E/U,max/min/min/max/max/min,68/75/78/79/21/64,63/27/54/58/24/68,40/3/85/24/75/63,64/78/69/27/17/14,27/4/79/54/9/72,48/34/50/72/26/21,78/11/81/64/17/40
19,4,ScatterPlot,21/19/33/79/55/83,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,59/38/27/2/60/49,U/U/E/U/E/E,max/min/max/min/max/max,47/41/53/73/77/60,63/40/47/4/48/3,28/26/13/41/63/6,11/54/34/44/27/53,73/14/39/6/19/24,79/63/54/46/77/27,27/6/60/17/25/79
20,4,ScatterPlotColored,21/19/33/79/55/83,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,59/38/27/2/60/49,U/U/E/U/E/E,max/min/max/min/max/max,47/41/53/73/77/60,63/40/47/4/48/3,28/26/13/41/63/6,11/54/34/44/27/53,73/14/39/6/19/24,79/63/54/46/77/27,27/6/60/17/25/79
21,4,HeatMapDiscrete,21/19/33/79/55/83,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,59/38/27/2/60/49,U/U/E/U/E/E,max/min/max/min/max/max,47/41/53/73/77/60,63/40/47/4/48/3,28/26/13/41/63/6,11/54/34/44/27/53,73/14/39/6/19/24,79/63/54/46/77/27,27/6/60/17/25/79
22,4,HeatMapContinuous,21/19/33/79/55/83,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,59/38/27/2/60/49,U/U/E/U/E/E,max/min/max/min/max/max,47/41/53/73/77/60,63/40/47/4/48/3,28/26/13/41/63/6,11/54/34/44/27/53,73/14/39/6/19/24,79/63/54/46/77/27,27/6/60/17/25/79
23,4,IPPDiscrete,21/19/33/79/55/83,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,59/38/27/2/60/49,U/U/E/U/E/E,max/min/max/min/max/max,47/41/53/73/77/60,63/40/47/4/48/3,28/26/13/41/63/6,11/54/34/44/27/53,73/14/39/6/19/24,79/63/54/46/77/27,27/6/60/17/25/79
24,4,IPPContinuous,21/19/33/79/55/83,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,59/38/27/2/60/49,U/U/E/U/E/E,max/min/max/min/max/max,47/41/53/73/77/60,63/40/47/4/48/3,28/26/13/41/63/6,11/54/34/44/27/53,73/14/39/6/19/24,79/63/54/46/77/27,27/6/60/17/25/79
25,5,ScatterPlot,63/14/22/42/43/62,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,51/16/10/32/9/1,U/E/U/E/U/E,max/min/max/max/max/max,28/6/57/21/5/4,28/63/34/40/82/79,14/19/6/21/11/76,10/54/17/57/4/39,40/82/66/65/78/21,34/5/40/54/25/3,44/24/7/40/4/32
26,5,ScatterPlotColored,63/14/22/42/43/62,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,51/16/10/32/9/1,U/E/U/E/U/E,max/min/max/max/max/max,28/6/57/21/5/4,28/63/34/40/82/79,14/19/6/21/11/76,10/54/17/57/4/39,40/82/66/65/78/21,34/5/40/54/25/3,44/24/7/40/4/32
27,5,HeatMapDiscrete,63/14/22/42/43/62,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,51/16/10/32/9/1,U/E/U/E/U/E,max/min/max/max/max/max,28/6/57/21/5/4,28/63/34/40/82/79,14/19/6/21/11/76,10/54/17/57/4/39,40/82/66/65/78/21,34/5/40/54/25/3,44/24/7/40/4/32
28,5,HeatMapContinuous,63/14/22/42/43/62,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,51/16/10/32/9/1,U/E/U/E/U/E,max/min/max/max/max/max,28/6/57/21/5/4,28/63/34/40/82/79,14/19/6/21/11/76,10/54/17/57/4/39,40/82/66/65/78/21,34/5/40/54/25/3,44/24/7/40/4/32
29,5,IPPDiscrete,63/14/22/42/43/62,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,51/16/10/32/9/1,U/E/U/E/U/E,max/min/max/max/max/max,28/6/57/21/5/4,28/63/34/40/82/79,14/19/6/21/11/76,10/54/17/57/4/39,40/82/66/65/78/21,34/5/40/54/25/3,44/24/7/40/4/32
30,5,IPPContinuous,63/14/22/42/43/62,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,51/16/10/32/9/1,U/E/U/E/U/E,max/min/max/max/max/max,28/6/57/21/5/4,28/63/34/40/82/79,14/19/6/21/11/76,10/54/17/57/4/39,40/82/66/65/78/21,34/5/40/54/25/3,44/24/7/40/4/32
31,6,ScatterPlot,23/24/44/36/72/76,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,36/59/80/30/28/26,E/E/U/E/U/U,max/max/max/max/min/min,75/43/77/65/37/44,14/65/7/61/75/15,43/40/6/78/41/3,3/26/81/77/6/54,40/74/17/2/65/34,40/54/44/37/78/50,4/45/44/84/70/85
32,6,ScatterPlotColored,23/24/44/36/72/76,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,36/59/80/30/28/26,E/E/U/E/U/U,max/max/max/max/min/min,75/43/77/65/37/44,14/65/7/61/75/15,43/40/6/78/41/3,3/26/81/77/6/54,40/74/17/2/65/34,40/54/44/37/78/50,4/45/44/84/70/85
33,6,HeatMapDiscrete,23/24/44/36/72/76,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,36/59/80/30/28/26,E/E/U/E/U/U,max/max/max/max/min/min,75/43/77/65/37/44,14/65/7/61/75/15,43/40/6/78/41/3,3/26/81/77/6/54,40/74/17/2/65/34,40/54/44/37/78/50,4/45/44/84/70/85
34,6,HeatMapContinuous,23/24/44/36/72/76,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,36/59/80/30/28/26,E/E/U/E/U/U,max/max/max/max/min/min,75/43/77/65/37/44,14/65/7/61/75/15,43/40/6/78/41/3,3/26/81/77/6/54,40/74/17/2/65/34,40/54/44/37/78/50,4/45/44/84/70/85
35,6,IPPDiscrete,23/24/44/36/72/76,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,36/59/80/30/28/26,E/E/U/E/U/U,max/max/max/max/min/min,75/43/77/65/37/44,14/65/7/61/75/15,43/40/6/78/41/3,3/26/81/77/6/54,40/74/17/2/65/34,40/54/44/37/78/50,4/45/44/84/70/85
36,6,IPPContinuous,23/24/44/36/72/76,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,36/59/80/30/28/26,E/E/U/E/U/U,max/max/max/max/min/min,75/43/77/65/37/44,14/65/7/61/75/15,43/40/6/78/41/3,3/26/81/77/6/54,40/74/17/2/65/34,40/54/44/37/78/50,4/45/44/84/70/85
37,7,ScatterPlot,69/22/80/5/46/29,Opt1/Opt2/Opt1/Opt1/Opt1/Opt1,17/27/77/56/12/31,U/E/U/E/E/U,max/max/max/max/max/max,23/72/36/76/44/24,44/81/34/54/23/7,80/72/82/43/14/22,54/3/6/14/36/15,70/24/34/76/82/11,44/55/22/10/70/76,27/75/62/1/80/24
38,7,ScatterPlotColored,69/22/80/5/46/29,Opt1/Opt2/Opt1/Opt1/Opt1/Opt1,17/27/77/56/12/31,U/E/U/E/E/U,max/max/max/max/max/max,23/72/36/76/44/24,44/81/34/54/23/7,80/72/82/43/14/22,54/3/6/14/36/15,70/24/34/76/82/11,44/55/22/10/70/76,27/75/62/1/80/24
39,7,HeatMapDiscrete,69/22/80/5/46/29,Opt1/Opt2/Opt1/Opt1/Opt1/Opt1,17/27/77/56/12/31,U/E/U/E/E/U,max/max/max/max/max/max,23/72/36/76/44/24,44/81/34/54/23/7,80/72/82/43/14/22,54/3/6/14/36/15,70/24/34/76/82/11,44/55/22/10/70/76,27/75/62/1/80/24
40,7,HeatMapContinuous,69/22/80/5/46/29,Opt1/Opt2/Opt1/Opt1/Opt1/Opt1,17/27/77/56/12/31,U/E/U/E/E/U,max/max/max/max/max/max,23/72/36/76/44/24,44/81/34/54/23/7,80/72/82/43/14/22,54/3/6/14/36/15,70/24/34/76/82/11,44/55/22/10/70/76,27/75/62/1/80/24
41,7,IPPDiscrete,69/22/80/5/46/29,Opt1/Opt2/Opt1/Opt1/Opt1/Opt1,17/27/77/56/12/31,U/E/U/E/E/U,max/max/max/max/max/max,23/72/36/76/44/24,44/81/34/54/23/7,80/72/82/43/14/22,54/3/6/14/36/15,70/24/34/76/82/11,44/55/22/10/70/76,27/75/62/1/80/24
42,7,IPPContinuous,69/22/80/5/46/29,Opt1/Opt2/Opt1/Opt1/Opt1/Opt1,17/27/77/56/12/31,U/E/U/E/E/U,max/max/max/max/max/max,23/72/36/76/44/24,44/81/34/54/23/7,80/72/82/43/14/22,54/3/6/14/36/15,70/24/34/76/82/11,44/55/22/10/70/76,27/75/62/1/80/24
43,8,ScatterPlot,53/2/61/39/52/60,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,67/17/25/47/27/1,U/E/U/E/U/E,min/max/max/max/max/max,81/65/51/64/48/82,41/85/30/34/81/7,49/65/41/27/75/23,51/11/6/7/48/4,14/3/54/58/64/26,54/48/45/7/14/80,45/70/66/82/84/3
44,8,ScatterPlotColored,53/2/61/39/52/60,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,67/17/25/47/27/1,U/E/U/E/U/E,min/max/max/max/max/max,81/65/51/64/48/82,41/85/30/34/81/7,49/65/41/27/75/23,51/11/6/7/48/4,14/3/54/58/64/26,54/48/45/7/14/80,45/70/66/82/84/3
45,8,HeatMapDiscrete,53/2/61/39/52/60,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,67/17/25/47/27/1,U/E/U/E/U/E,min/max/max/max/max/max,81/65/51/64/48/82,41/85/30/34/81/7,49/65/41/27/75/23,51/11/6/7/48/4,14/3/54/58/64/26,54/48/45/7/14/80,45/70/66/82/84/3
46,8,HeatMapContinuous,53/2/61/39/52/60,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,67/17/25/47/27/1,U/E/U/E/U/E,min/max/max/max/max/max,81/65/51/64/48/82,41/85/30/34/81/7,49/65/41/27/75/23,51/11/6/7/48/4,14/3/54/58/64/26,54/48/45/7/14/80,45/70/66/82/84/3
47,8,IPPDiscrete,53/2/61/39/52/60,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,67/17/25/47/27/1,U/E/U/E/U/E,min/max/max/max/max/max,81/65/51/64/48/82,41/85/30/34/81/7,49/65/41/27/75/23,51/11/6/7/48/4,14/3/54/58/64/26,54/48/45/7/14/80,45/70/66/82/84/3
48,8,IPPContinuous,53/2/61/39/52/60,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,67/17/25/47/27/1,U/E/U/E/U/E,min/max/max/max/max/max,81/65/51/64/48/82,41/85/30/34/81/7,49/65/41/27/75/23,51/11/6/7/48/4,14/3/54/58/64/26,54/48/45/7/14/80,45/70/66/82/84/3
49,9,ScatterPlot,66/85/4/20/26/78,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,39/42/46/52/63/76,E/U/U/U/E/E,min/max/min/min/min/max,19/80/48/20/23/38,19/27/54/64/11/34,6/27/23/46/80/15,45/28/14/7/20/48,4/3/52/20/80/40,27/23/78/40/14/72,7/82/38/63/66/54
50,9,ScatterPlotColored,66/85/4/20/26/78,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,39/42/46/52/63/76,E/U/U/U/E/E,min/max/min/min/min/max,19/80/48/20/23/38,19/27/54/64/11/34,6/27/23/46/80/15,45/28/14/7/20/48,4/3/52/20/80/40,27/23/78/40/14/72,7/82/38/63/66/54
51,9,HeatMapDiscrete,66/85/4/20/26/78,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,39/42/46/52/63/76,E/U/U/U/E/E,min/max/min/min/min/max,19/80/48/20/23/38,19/27/54/64/11/34,6/27/23/46/80/15,45/28/14/7/20/48,4/3/52/20/80/40,27/23/78/40/14/72,7/82/38/63/66/54
52,9,HeatMapContinuous,66/85/4/20/26/78,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,39/42/46/52/63/76,E/U/U/U/E/E,min/max/min/min/min/max,19/80/48/20/23/38,19/27/54/64/11/34,6/27/23/46/80/15,45/28/14/7/20/48,4/3/52/20/80/40,27/23/78/40/14/72,7/82/38/63/66/54
53,9,IPPDiscrete,66/85/4/20/26/78,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,39/42/46/52/63/76,E/U/U/U/E/E,min/max/min/min/min/max,19/80/48/20/23/38,19/27/54/64/11/34,6/27/23/46/80/15,45/28/14/7/20/48,4/3/52/20/80/40,27/23/78/40/14/72,7/82/38/63/66/54
54,9,IPPContinuous,66/85/4/20/26/78,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,39/42/46/52/63/76,E/U/U/U/E/E,min/max/min/min/min/max,19/80/48/20/23/38,19/27/54/64/11/34,6/27/23/46/80/15,45/28/14/7/20/48,4/3/52/20/80/40,27/23/78/40/14/72,7/82/38/63/66/54
55,10,ScatterPlot,75/71/35/7/84/8,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,26/85/4/78/20/66,U/E/U/U/E/E,min/max/min/max/min/max,67/11/25/57/30/68,6/50/72/27/67/40,32/82/11/76/70/10,40/54/17/60/34/25,85/82/74/27/57/39,3/30/72/6/78/27,68/14/34/50/15/27
56,10,ScatterPlotColored,75/71/35/7/84/8,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,26/85/4/78/20/66,U/E/U/U/E/E,min/max/min/max/min/max,67/11/25/57/30/68,6/50/72/27/67/40,32/82/11/76/70/10,40/54/17/60/34/25,85/82/74/27/57/39,3/30/72/6/78/27,68/14/34/50/15/27
57,10,HeatMapDiscrete,75/71/35/7/84/8,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,26/85/4/78/20/66,U/E/U/U/E/E,min/max/min/max/min/max,67/11/25/57/30/68,6/50/72/27/67/40,32/82/11/76/70/10,40/54/17/60/34/25,85/82/74/27/57/39,3/30/72/6/78/27,68/14/34/50/15/27
58,10,HeatMapContinuous,75/71/35/7/84/8,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,26/85/4/78/20/66,U/E/U/U/E/E,min/max/min/max/min/max,67/11/25/57/30/68,6/50/72/27/67/40,32/82/11/76/70/10,40/54/17/60/34/25,85/82/74/27/57/39,3/30/72/6/78/27,68/14/34/50/15/27
59,10,IPPDiscrete,75/71/35/7/84/8,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,26/85/4/78/20/66,U/E/U/U/E/E,min/max/min/max/min/max,67/11/25/57/30/68,6/50/72/27/67/40,32/82/11/76/70/10,40/54/17/60/34/25,85/82/74/27/57/39,3/30/72/6/78/27,68/14/34/50/15/27
60,10,IPPContinuous,75/71/35/7/84/8,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,26/85/4/78/20/66,U/E/U/U/E/E,min/max/min/max/min/max,67/11/25/57/30/68,6/50/72/27/67/40,32/82/11/76/70/10,40/54/17/60/34/25,85/82/74/27/57/39,3/30/72/6/78/27,68/14/34/50/15/27
61,11,ScatterPlot,65/3/59/74/58/15,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,55/64/62/50/56/21,E/U/U/E/U/E,max/min/max/min/min/min,7/75/35/84/8/71,4/3/79/54/6/7,50/75/27/19/70/73,40/69/35/54/6/63,84/69/14/40/50/78,27/24/19/70/63/8,26/71/34/13/1/72
62,11,ScatterPlotColored,65/3/59/74/58/15,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,55/64/62/50/56/21,E/U/U/E/U/E,max/min/max/min/min/min,7/75/35/84/8/71,4/3/79/54/6/7,50/75/27/19/70/73,40/69/35/54/6/63,84/69/14/40/50/78,27/24/19/70/63/8,26/71/34/13/1/72
63,11,HeatMapDiscrete,65/3/59/74/58/15,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,55/64/62/50/56/21,E/U/U/E/U/E,max/min/max/min/min/min,7/75/35/84/8/71,4/3/79/54/6/7,50/75/27/19/70/73,40/69/35/54/6/63,84/69/14/40/50/78,27/24/19/70/63/8,26/71/34/13/1/72
64,11,HeatMapContinuous,65/3/59/74/58/15,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,55/64/62/50/56/21,E/U/U/E/U/E,max/min/max/min/min/min,7/75/35/84/8/71,4/3/79/54/6/7,50/75/27/19/70/73,40/69/35/54/6/63,84/69/14/40/50/78,27/24/19/70/63/8,26/71/34/13/1/72
65,11,IPPDiscrete,65/3/59/74/58/15,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,55/64/62/50/56/21,E/U/U/E/U/E,max/min/max/min/min/min,7/75/35/84/8/71,4/3/79/54/6/7,50/75/27/19/70/73,40/69/35/54/6/63,84/69/14/40/50/78,27/24/19/70/63/8,26/71/34/13/1/72
66,11,IPPContinuous,65/3/59/74/58/15,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,55/64/62/50/56/21,E/U/U/E/U/E,max/min/max/min/min/min,7/75/35/84/8/71,4/3/79/54/6/7,50/75/27/19/70/73,40/69/35/54/6/63,84/69/14/40/50/78,27/24/19/70/63/8,26/71/34/13/1/72
67,12,ScatterPlot,81/82/41/65/5/45,Opt1/Opt1/Opt1/Opt1/Opt2/Opt1,58/65/59/15/74/3,E/E/U/U/E/U,max/max/max/max/max/max,47/72/69/76/34/84,14/47/72/27/4/6,80/78/43/14/72/22,3/82/69/40/48/72,70/27/34/76/82/11,61/54/40/14/27/34,84/34/70/66/81/11
68,12,ScatterPlotColored,81/82/41/65/5/45,Opt1/Opt1/Opt1/Opt1/Opt2/Opt1,58/65/59/15/74/3,E/E/U/U/E/U,max/max/max/max/max/max,47/72/69/76/34/84,14/47/72/27/4/6,80/78/43/14/72/22,3/82/69/40/48/72,70/27/34/76/82/11,61/54/40/14/27/34,84/34/70/66/81/11
69,12,HeatMapDiscrete,81/82/41/65/5/45,Opt1/Opt1/Opt1/Opt1/Opt2/Opt1,58/65/59/15/74/3,E/E/U/U/E/U,max/max/max/max/max/max,47/72/69/76/34/84,14/47/72/27/4/6,80/78/43/14/72/22,3/82/69/40/48/72,70/27/34/76/82/11,61/54/40/14/27/34,84/34/70/66/81/11
70,12,HeatMapContinuous,81/82/41/65/5/45,Opt1/Opt1/Opt1/Opt1/Opt2/Opt1,58/65/59/15/74/3,E/E/U/U/E/U,max/max/max/max/max/max,47/72/69/76/34/84,14/47/72/27/4/6,80/78/43/14/72/22,3/82/69/40/48/72,70/27/34/76/82/11,61/54/40/14/27/34,84/34/70/66/81/11
71,12,IPPDiscrete,81/82/41/65/5/45,Opt1/Opt1/Opt1/Opt1/Opt2/Opt1,58/65/59/15/74/3,E/E/U/U/E/U,max/max/max/max/max/max,47/72/69/76/34/84,14/47/72/27/4/6,80/78/43/14/72/22,3/82/69/40/48/72,70/27/34/76/82/11,61/54/40/14/27/34,84/34/70/66/81/11
72,12,IPPContinuous,81/82/41/65/5/45,Opt1/Opt1/Opt1/Opt1/Opt2/Opt1,58/65/59/15/74/3,E/E/U/U/E/U,max/max/max/max/max/max,47/72/69/76/34/84,14/47/72/27/4/6,80/78/43/14/72/22,3/82/69/40/48/72,70/27/34/76/82/11,61/54/40/14/27/34,84/34/70/66/81/11
73,13,ScatterPlot,39/76/46/52/42/63,Opt2/Opt2/Opt2/Opt2/Opt2/Opt2,19/33/55/21/83/79,U/E/U/E/E/E,max/min/min/min/min/max,9/29/41/30/58/27,57/70/27/13/9/14,78/3/29/63/40/54,26/16/52/6/80/41,3/30/72/6/78/27,65/54/58/76/3/66,27/85/75/25/47/12
74,13,ScatterPlotColored,39/76/46/52/42/63,Opt2/Opt2/Opt2/Opt2/Opt2/Opt2,19/33/55/21/83/79,U/E/U/E/E/E,max/min/min/min/min/max,9/29/41/30/58/27,57/70/27/13/9/14,78/3/29/63/40/54,26/16/52/6/80/41,3/30/72/6/78/27,65/54/58/76/3/66,27/85/75/25/47/12
75,13,HeatMapDiscrete,39/76/46/52/42/63,Opt2/Opt2/Opt2/Opt2/Opt2/Opt2,19/33/55/21/83/79,U/E/U/E/E/E,max/min/min/min/min/max,9/29/41/30/58/27,57/70/27/13/9/14,78/3/29/63/40/54,26/16/52/6/80/41,3/30/72/6/78/27,65/54/58/76/3/66,27/85/75/25/47/12
76,13,HeatMapContinuous,39/76/46/52/42/63,Opt2/Opt2/Opt2/Opt2/Opt2/Opt2,19/33/55/21/83/79,U/E/U/E/E/E,max/min/min/min/min/max,9/29/41/30/58/27,57/70/27/13/9/14,78/3/29/63/40/54,26/16/52/6/80/41,3/30/72/6/78/27,65/54/58/76/3/66,27/85/75/25/47/12
77,13,IPPDiscrete,39/76/46/52/42/63,Opt2/Opt2/Opt2/Opt2/Opt2/Opt2,19/33/55/21/83/79,U/E/U/E/E/E,max/min/min/min/min/max,9/29/41/30/58/27,57/70/27/13/9/14,78/3/29/63/40/54,26/16/52/6/80/41,3/30/72/6/78/27,65/54/58/76/3/66,27/85/75/25/47/12
78,13,IPPContinuous,39/76/46/52/42/63,Opt2/Opt2/Opt2/Opt2/Opt2/Opt2,19/33/55/21/83/79,U/E/U/E/E/E,max/min/min/min/min/max,9/29/41/30/58/27,57/70/27/13/9/14,78/3/29/63/40/54,26/16/52/6/80/41,3/30/72/6/78/27,65/54/58/76/3/66,27/85/75/25/47/12
