Variance,Skewness,Curtosis,Entropy,Class,Scaled_Variance,Scaled_Skewness,Scaled_Curtosis,Scaled_Entropy,Scaled_Class,Radius
2.6881,6.0195,-0.46641,-0.69268,0,268.81,601.95,-46.641,-69.268,0,1
3.6289,0.81322,1.6277,0.77627,0,362.89,81.322,162.77,77.627,0,1
4.5679,3.1929,-2.1055,0.29653,0,456.79,319.29,-210.55,29.653,0,1
3.4805,9.7008,-3.7541,-3.4379,0,348.05,970.08,-375.41,-343.79,0,1
4.1711,8.722,-3.0224,-0.59699,0,417.11,872.2,-302.24,-59.699,0,1
-0.2062,9.2207,-3.7044,-6.8103,0,-20.62,922.07,-370.44,-681.03,0,1
-0.0068919,9.2931,-0.41243,-1.9638,0,-0.68919,929.31,-41.243,-196.38,0,1
0.96441,5.8395,2.3235,0.066365,0,96.441,583.95,232.35,6.6365,0,1
2.8561,6.9176,-0.79372,0.48403,0,285.61,691.76,-79.372,48.403,0,1
-0.7869,9.5663,-3.7867,-7.5034,0,-78.69,956.63,-378.67,-750.34,0,1
2.0843,6.6258,0.48382,-2.2134,0,208.43,662.58,48.382,-221.34,0,1
-0.7869,9.5663,-3.7867,-7.5034,0,-78.69,956.63,-378.67,-750.34,0,1
3.9102,6.065,-2.4534,-0.68234,0,391.02,606.5,-245.34,-68.234,0,1
1.6349,3.286,2.8753,0.087054,0,163.49,328.6,287.53,8.7054,0,1
4.3239,-4.8835,3.4356,-0.5776,0,432.39,-488.35,343.56,-57.76,0,1
5.262,3.9834,-1.5572,1.0103,0,526.2,398.34,-155.72,101.03,0,1
3.1452,5.825,-0.51439,-1.4944,0,314.52,582.5,-51.439,-149.44,0,1
2.549,6.1499,-1.1605,-1.2371,0,254.9,614.99,-116.05,-123.71,0,1
4.9264,5.496,-2.4774,-0.50648,0,492.64,549.6,-247.74,-50.648,0,1
4.8265,0.80287,1.6371,1.1875,0,482.65,80.287,163.71,118.75,0,1
2.5635,6.7769,-0.61979,0.38576,0,256.35,677.69,-61.979,38.576,0,1
5.807,5.0097,-2.2384,0.43878,0,580.7,500.97,-223.84,43.878,0,1
3.1377,-4.1096,4.5701,0.98963,0,313.77,-410.96,457.01,98.963,0,1
-0.78289,11.3603,-0.37644,-7.0495,0,-78.289,1136.03,-37.644,-704.95,0,1
2.888,0.44696,4.5907,-0.24398,0,288.8,44.696,459.07,-24.398,0,1
0.49665,5.527,1.7785,-0.47156,0,49.665,552.7,177.85,-47.156,0,1
4.2586,11.2962,-4.0943,-4.3457,0,425.86,1129.62,-409.43,-434.57,0,1
1.7939,-1.1174,1.5454,-0.26079,0,179.39,-111.74,154.54,-26.079,0,1
5.4021,3.1039,-1.1536,1.5651,0,540.21,310.39,-115.36,156.51,0,1
2.5367,2.599,2.0938,0.20085,0,253.67,259.9,209.38,20.085,0,1
4.6054,-4.0765,2.7587,0.31981,0,460.54,-407.65,275.87,31.981,0,1
2.4235,9.5332,-3.0789,-2.7746,0,242.35,953.32,-307.89,-277.46,0,1
1.0009,7.7846,-0.28219,-2.6608,0,100.09,778.46,-28.219,-266.08,0,1
0.12326,8.9848,-0.9351,-2.4332,0,12.326,898.48,-93.51,-243.32,0,1
3.9529,-2.3548,2.3792,0.48274,0,395.29,-235.48,237.92,48.274,0,1
4.1373,0.49248,1.093,1.8276,0,413.73,49.248,109.3,182.76,0,1
4.7181,10.0153,-3.9486,-3.8582,0,471.81,1001.53,-394.86,-385.82,0,1
4.1654,-3.4495,3.643,1.0879,0,416.54,-344.95,364.3,108.79,0,1
4.4069,10.9072,-4.5775,-4.4271,0,440.69,1090.72,-457.75,-442.71,0,1
2.3066,3.5364,0.57551,0.41938,0,230.66,353.64,57.551,41.938,0,1
3.7935,7.9853,-2.5477,-1.872,0,379.35,798.53,-254.77,-187.2,0,1
0.049175,6.1437,1.7828,-0.72113,0,4.9175,614.37,178.28,-72.113,0,1
0.24835,7.6439,0.9885,-0.87371,0,24.835,764.39,98.85,-87.371,0,1
1.1317,3.9647,3.3979,0.84351,0,113.17,396.47,339.79,84.351,0,1
2.8033,9.0862,-3.3668,-1.0224,0,280.33,908.62,-336.68,-102.24,0,1
4.4682,2.2907,0.95766,0.83058,0,446.82,229.07,95.766,83.058,0,1
5.0185,8.5978,-2.9375,-1.281,0,501.85,859.78,-293.75,-128.1,0,1
1.8664,7.7763,-0.23849,-2.9634,0,186.64,777.63,-23.849,-296.34,0,1
3.245,6.63,-0.63435,0.86937,0,324.5,663,-63.435,86.937,0,1
4.0296,2.6756,0.80685,0.71679,0,402.96,267.56,80.685,71.679,0,1
-1.1313,1.9037,7.5339,1.022,0,-113.13,190.37,753.39,102.2,0,1
0.87603,6.8141,0.84198,-0.17156,0,87.603,681.41,84.198,-17.156,0,1
4.1197,-2.7956,2.0707,0.67412,0,411.97,-279.56,207.07,67.412,0,1
3.8027,0.81529,2.1041,1.0245,0,380.27,81.529,210.41,102.45,0,1
1.4806,7.6377,-2.7876,-1.0341,0,148.06,763.77,-278.76,-103.41,0,1
4.0632,3.584,0.72545,0.39481,0,406.32,358.4,72.545,39.481,0,1
4.3064,8.2068,-2.7824,-1.4336,0,430.64,820.68,-278.24,-143.36,0,1
2.4486,-6.3175,7.9632,0.20602,0,244.86,-631.75,796.32,20.602,0,1
3.2718,1.7837,2.1161,0.61334,0,327.18,178.37,211.61,61.334,0,1
-0.64472,-4.6062,8.347,-2.7099,0,-64.472,-460.62,834.7,-270.99,0,1
2.9543,1.076,0.64577,0.89394,0,295.43,107.6,64.577,89.394,0,1
2.1616,-6.8804,8.1517,-0.081048,0,216.16,-688.04,815.17,-8.1048,0,1
3.82,10.9279,-4.0112,-5.0284,0,382,1092.79,-401.12,-502.84,0,1
-2.7419,11.4038,2.5394,-5.5793,0,-274.19,1140.38,253.94,-557.93,0,1
3.3669,-5.1856,3.6935,-1.1427,0,336.69,-518.56,369.35,-114.27,0,1
4.5597,-2.4211,2.6413,1.6168,0,455.97,-242.11,264.13,161.68,0,1
5.1129,-0.49871,0.62863,1.1189,0,511.29,-49.871,62.863,111.89,0,1
3.3397,-4.6145,3.9823,-0.23751,0,333.97,-461.45,398.23,-23.751,0,1
4.2027,0.22761,0.96108,0.97282,0,420.27,22.761,96.108,97.282,0,1
3.5438,1.2395,1.997,2.1547,0,354.38,123.95,199.7,215.47,0,1
2.3136,10.6651,-3.5288,-4.7672,0,231.36,1066.51,-352.88,-476.72,0,1
-1.8584,7.886,-1.6643,-1.8384,0,-185.84,788.6,-166.43,-183.84,0,1
3.106,9.5414,-4.2536,-4.003,0,310.6,954.14,-425.36,-400.3,0,1
2.9163,10.8306,-3.3437,-4.122,0,291.63,1083.06,-334.37,-412.2,0,1
3.9922,-4.4676,3.7304,-0.1095,0,399.22,-446.76,373.04,-10.95,0,1
1.518,5.6946,0.094818,-0.026738,0,151.8,569.46,9.4818,-2.6738,0,1
3.2351,9.647,-3.2074,-2.5948,0,323.51,964.7,-320.74,-259.48,0,1
4.2188,6.8162,-1.2804,0.76076,0,421.88,681.62,-128.04,76.076,0,1
1.7819,6.9176,-1.2744,-1.5759,0,178.19,691.76,-127.44,-157.59,0,1
2.5331,2.9135,-0.822,-0.12243,0,253.31,291.35,-82.2,-12.243,0,1
3.8969,7.4163,-1.8245,0.14007,0,389.69,741.63,-182.45,14.007,0,1
2.108,6.7955,-0.1708,0.4905,0,210.8,679.55,-17.08,49.05,0,1
2.8969,0.70768,2.29,1.8663,0,289.69,70.768,229,186.63,0,1
0.9297,-3.7971,4.6429,-0.2957,0,92.97,-379.71,464.29,-29.57,0,1
3.4642,10.6878,-3.4071,-4.109,0,346.42,1068.78,-340.71,-410.9,0,1
4.0713,10.4023,-4.1722,-4.7582,0,407.13,1040.23,-417.22,-475.82,0,1
-1.4572,9.1214,1.7425,-5.1241,0,-145.72,912.14,174.25,-512.41,0,1
-1.5075,1.9224,7.1466,0.89136,0,-150.75,192.24,714.66,89.136,0,1
-0.91718,9.9884,1.1804,-5.2263,0,-91.718,998.84,118.04,-522.63,0,1
2.994,7.2011,-1.2153,0.3211,0,299.4,720.11,-121.53,32.11,0,1
-2.343,12.9516,3.3285,-5.9426,0,-234.3,1295.16,332.85,-594.26,0,1
3.7818,-2.8846,2.2558,-0.15734,0,378.18,-288.46,225.58,-15.734,0,1
4.6689,1.3098,0.055404,1.909,0,466.89,130.98,5.5404,190.9,0,1
3.4663,1.1112,1.7425,1.3388,0,346.63,111.12,174.25,133.88,0,1
3.2697,-4.3414,3.6884,-0.29829,0,326.97,-434.14,368.84,-29.829,0,1
5.1302,8.6703,-2.8913,-1.5086,0,513.02,867.03,-289.13,-150.86,0,1
2.0139,6.1416,0.37929,0.56938,0,201.39,614.16,37.929,56.938,0,1
0.4339,5.5395,2.033,-0.40432,0,43.39,553.95,203.3,-40.432,0,1
-1.0401,9.3987,0.85998,-5.3336,0,-104.01,939.87,85.998,-533.36,0,1
4.1605,11.2196,-3.6136,-4.0819,0,416.05,1121.96,-361.36,-408.19,0,1
5.438,9.4669,-4.9417,-3.9202,0,543.8,946.69,-494.17,-392.02,0,1
5.032,8.2026,-2.6256,-1.0341,0,503.2,820.26,-262.56,-103.41,0,1
5.2418,10.5388,-4.1174,-4.2797,0,524.18,1053.88,-411.74,-427.97,0,1
-0.2062,9.2207,-3.7044,-6.8103,0,-20.62,922.07,-370.44,-681.03,0,1
2.0911,0.94358,4.5512,1.234,0,209.11,94.358,455.12,123.4,0,1
1.7317,-0.34765,4.1905,-0.99138,0,173.17,-34.765,419.05,-99.138,0,1
4.1736,3.3336,-1.4244,0.60429,0,417.36,333.36,-142.44,60.429,0,1
3.9232,-3.2467,3.4579,0.83705,0,392.32,-324.67,345.79,83.705,0,1
3.8481,10.1539,-3.8561,-4.2228,0,384.81,1015.39,-385.61,-422.28,0,1
0.5195,-3.2633,3.0895,-0.9849,0,51.95,-326.33,308.95,-98.49,0,1
3.8584,0.78425,1.1033,1.7008,0,385.84,78.425,110.33,170.08,0,1
1.7496,-0.1759,5.1827,1.2922,0,174.96,-17.59,518.27,129.22,0,1
3.6277,0.9829,0.68861,0.63403,0,362.77,98.29,68.861,63.403,0,1
2.7391,7.4018,0.071684,-2.5302,0,273.91,740.18,7.1684,-253.02,0,1
4.5447,8.2274,-2.4166,-1.5875,0,454.47,822.74,-241.66,-158.75,0,1
-1.7599,11.9211,2.6756,-3.3241,0,-175.99,1192.11,267.56,-332.41,0,1
5.0691,0.21313,0.20278,1.2095,0,506.91,21.313,20.278,120.95,0,1
3.4591,11.112,-4.2039,-5.0931,0,345.91,1111.2,-420.39,-509.31,0,1
1.9358,8.1654,-0.023425,-2.2586,0,193.58,816.54,-2.3425,-225.86,0,1
2.486,-0.99533,5.3404,-0.15475,0,248.6,-99.533,534.04,-15.475,0,1
2.4226,-4.5752,5.947,0.21507,0,242.26,-457.52,594.7,21.507,0,1
3.9479,-3.7723,2.883,0.019813,0,394.79,-377.23,288.3,1.9813,0,1
2.2634,-4.4862,3.6558,-0.61251,0,226.34,-448.62,365.58,-61.251,0,1
1.3566,4.2358,2.1341,0.3211,0,135.66,423.58,213.41,32.11,0,1
5.0452,3.8964,-1.4304,0.86291,0,504.52,389.64,-143.04,86.291,0,1
3.5499,8.6165,-3.2794,-1.2009,0,354.99,861.65,-327.94,-120.09,0,1
0.17346,7.8695,0.26876,-3.7883,0,17.346,786.95,26.876,-378.83,0,1
2.4008,9.3593,-3.3565,-3.3526,0,240.08,935.93,-335.65,-335.26,0,1
4.8851,1.5995,-0.00029081,1.6401,0,488.51,159.95,-0.029081,164.01,0,1
4.1927,-3.2674,2.5839,0.21766,0,419.27,-326.74,258.39,21.766,0,1
1.1166,8.6496,-0.96252,-1.8112,0,111.66,864.96,-96.252,-181.12,0,1
1.0235,6.901,-2.0062,-2.7125,0,102.35,690.1,-200.62,-271.25,0,1
-1.803,11.8818,2.0458,-5.2728,0,-180.3,1188.18,204.58,-527.28,0,1
0.11739,6.2761,-1.5495,-2.4746,0,11.739,627.61,-154.95,-247.46,0,1
0.5706,-0.0248,1.2421,-0.5621,0,57.06,-2.48,124.21,-56.21,0,1
4.0552,-2.4583,2.2806,1.0323,0,405.52,-245.83,228.06,103.23,0,1
-1.6952,1.0657,8.8294,0.94955,0,-169.52,106.57,882.94,94.955,0,1
-1.1193,10.7271,2.0938,-5.6504,0,-111.93,1072.71,209.38,-565.04,0,1
1.8799,2.4707,2.4931,0.37671,0,187.99,247.07,249.31,37.671,0,1
3.583,-3.7971,3.4391,-0.12501,0,358.3,-379.71,343.91,-12.501,0,1
0.19081,9.1297,-3.725,-5.8224,0,19.081,912.97,-372.5,-582.24,0,1
3.6582,5.6864,-1.7157,-0.23751,0,365.82,568.64,-171.57,-23.751,0,1
-0.13144,-1.7775,8.3316,0.35214,0,-13.144,-177.75,833.16,35.214,0,1
2.3925,9.798,-3.0361,-2.8224,0,239.25,979.8,-303.61,-282.24,0,1
1.6426,3.0149,0.22849,-0.147,0,164.26,301.49,22.849,-14.7,0,1
-0.11783,-1.5789,8.03,-0.028031,0,-11.783,-157.89,803,-2.8031,0,1
-0.69572,8.6165,1.8419,-4.3289,0,-69.572,861.65,184.19,-432.89,0,1
2.9421,7.4101,-0.97709,-0.88406,0,294.21,741.01,-97.709,-88.406,0,1
-1.7559,11.9459,3.0946,-4.8978,0,-175.59,1194.59,309.46,-489.78,0,1
-1.2537,10.8803,1.931,-4.3237,0,-125.37,1088.03,193.1,-432.37,0,1
3.2585,-4.4614,3.8024,-0.15087,0,325.85,-446.14,380.24,-15.087,0,1
1.8314,6.3672,-0.036278,0.049554,0,183.14,636.72,-3.6278,4.9554,0,1
4.5645,-3.6275,2.8684,0.27714,0,456.45,-362.75,286.84,27.714,0,1
2.7365,-5.0325,6.6608,-0.57889,0,273.65,-503.25,666.08,-57.889,0,1
0.9297,-3.7971,4.6429,-0.2957,0,92.97,-379.71,464.29,-29.57,0,1
3.9663,10.1684,-4.1131,-4.6056,0,396.63,1016.84,-411.31,-460.56,0,1
1.4578,-0.08485,4.1785,0.59136,0,145.78,-8.485,417.85,59.136,0,1
4.8272,3.0687,0.68604,0.80731,0,482.72,306.87,68.604,80.731,0,1
-2.341,12.3784,0.70403,-7.5836,0,-234.1,1237.84,70.403,-758.36,0,1
-1.8584,7.886,-1.6643,-1.8384,0,-185.84,788.6,-166.43,-183.84,0,1
4.1454,7.257,-1.9153,-0.86078,0,414.54,725.7,-191.53,-86.078,0,1
1.9157,6.0816,0.23705,-2.0116,0,191.57,608.16,23.705,-201.16,0,1
4.0215,-2.1914,2.4648,1.1409,0,402.15,-219.14,246.48,114.09,0,1
5.8862,5.8747,-2.8167,-0.30087,0,588.62,587.47,-281.67,-30.087,0,1
-2.0897,10.8265,2.3603,-3.4198,0,-208.97,1082.65,236.03,-341.98,0,1
4.0026,-3.5943,3.5573,0.26809,0,400.26,-359.43,355.73,26.809,0,1
-0.78689,9.5663,-3.7867,-7.5034,0,-78.689,956.63,-378.67,-750.34,0,1
4.1757,10.2615,-3.8552,-4.3056,0,417.57,1026.15,-385.52,-430.56,0,1
0.83292,7.5404,0.65005,-0.92544,0,83.292,754.04,65.005,-92.544,0,1
4.8077,2.2327,-0.26334,1.5534,0,480.77,223.27,-26.334,155.34,0,1
5.3063,5.2684,-2.8904,-0.52716,0,530.63,526.84,-289.04,-52.716,0,1
2.5605,9.2683,-3.5913,-1.356,0,256.05,926.83,-359.13,-135.6,0,1
2.1059,7.6046,-0.47755,-1.8461,0,210.59,760.46,-47.755,-184.61,0,1
2.1721,-0.73874,5.4672,-0.72371,0,217.21,-73.874,546.72,-72.371,0,1
4.2899,9.1814,-4.6067,-4.3263,0,428.99,918.14,-460.67,-432.63,0,1
3.5156,10.1891,-4.2759,-4.978,0,351.56,1018.91,-427.59,-497.8,0,1
2.614,8.0081,-3.7258,-1.3069,0,261.4,800.81,-372.58,-130.69,0,1
0.68087,2.3259,4.9085,0.54998,0,68.087,232.59,490.85,54.998,0,1
4.1962,0.74493,0.83256,0.753,0,419.62,74.493,83.256,75.3,0,1
6.0919,2.9673,-1.3267,1.4551,0,609.19,296.73,-132.67,145.51,0,1
1.3234,3.2964,0.2362,-0.11984,0,132.34,329.64,23.62,-11.984,0,1
1.3264,1.0326,5.6566,-0.41337,0,132.64,103.26,565.66,-41.337,0,1
-0.16735,7.6274,1.2061,-3.6241,0,-16.735,762.74,120.61,-362.41,0,1
-1.3,10.2678,-2.953,-5.8638,0,-130,1026.78,-295.3,-586.38,0,1
-2.2261,12.5398,2.9438,-3.5258,0,-222.61,1253.98,294.38,-352.58,0,1
2.4196,6.4665,-0.75688,0.228,0,241.96,646.65,-75.688,22.8,0,1
1.0987,0.6394,5.989,-0.58277,0,109.87,63.94,598.9,-58.277,0,1
4.6464,10.5326,-4.5852,-4.206,0,464.64,1053.26,-458.52,-420.6,0,1
-0.36038,4.1158,3.1143,-0.37199,0,-36.038,411.58,311.43,-37.199,0,1
1.3562,3.2136,4.3465,0.78662,0,135.62,321.36,434.65,78.662,0,1
0.5706,-0.0248,1.2421,-0.5621,0,57.06,-2.48,124.21,-56.21,0,1
-2.6479,10.1374,-1.331,-5.4707,0,-264.79,1013.74,-133.1,-547.07,0,1
3.1219,-3.137,1.9259,-0.37458,0,312.19,-313.7,192.59,-37.458,0,1
5.4944,1.5478,0.041694,1.9284,0,549.44,154.78,4.1694,192.84,0,1
-1.3389,1.552,7.0806,1.031,0,-133.89,155.2,708.06,103.1,0,1
-2.3361,11.9604,3.0835,-5.4435,0,-233.61,1196.04,308.35,-544.35,0,1
2.2596,-0.033118,4.7355,-0.2776,0,225.96,-3.3118,473.55,-27.76,0,1
0.46901,-0.63321,7.3848,0.36507,0,46.901,-63.321,738.48,36.507,0,1
2.7296,2.8701,0.51124,0.5099,0,272.96,287.01,51.124,50.99,0,1
2.0466,2.03,2.1761,-0.083634,0,204.66,203,217.61,-8.3634,0,1
-1.3274,9.498,2.4408,-5.2689,0,-132.74,949.8,244.08,-526.89,0,1
3.8905,-2.1521,2.6302,1.1047,0,389.05,-215.21,263.02,110.47,0,1
3.9994,0.90427,1.1693,1.6892,0,399.94,90.427,116.93,168.92,0,1
2.3952,9.5083,-3.1783,-3.0086,0,239.52,950.83,-317.83,-300.86,0,1
3.2704,6.9321,-1.0456,0.23447,0,327.04,693.21,-104.56,23.447,0,1
-1.3931,1.5664,7.5382,0.78403,0,-139.31,156.64,753.82,78.403,0,1
1.6406,3.5488,1.3964,-0.36424,0,164.06,354.88,139.64,-36.424,0,1
2.7744,6.8576,-1.0671,0.075416,0,277.44,685.76,-106.71,7.5416,0,1
2.4287,9.3821,-3.2477,-1.4543,0,242.87,938.21,-324.77,-145.43,0,1
4.2134,-2.806,2.0116,0.67412,0,421.34,-280.6,201.16,67.412,0,1
1.6472,0.48213,4.7449,1.225,0,164.72,48.213,474.49,122.5,0,1
2.0597,-0.99326,5.2119,-0.29312,0,205.97,-99.326,521.19,-29.312,0,1
0.3798,0.7098,0.7572,-0.4444,0,37.98,70.98,75.72,-44.44,0,1
1.0135,8.4551,-1.672,-2.0815,0,101.35,845.51,-167.2,-208.15,0,1
4.5691,-4.4552,3.1769,0.0042961,0,456.91,-445.52,317.69,0.42961,0,1
0.57461,10.1105,-1.6917,-4.3922,0,57.461,1011.05,-169.17,-439.22,0,1
0.5734,9.1938,-0.9094,-1.872,0,57.34,919.38,-90.94,-187.2,0,1
5.2868,3.257,-1.3721,1.1668,0,528.68,325.7,-137.21,116.68,0,1
4.0102,10.6568,-4.1388,-5.0646,0,401.02,1065.68,-413.88,-506.46,0,1
4.1425,-3.6792,3.8281,1.6297,0,414.25,-367.92,382.81,162.97,0,1
3.0934,-2.9177,2.2232,0.22283,0,309.34,-291.77,222.32,22.283,0,1
2.2034,5.9947,0.53009,0.84998,0,220.34,599.47,53.009,84.998,0,1
3.744,0.79459,0.95851,1.0077,0,374.4,79.459,95.851,100.77,0,1
3.0329,2.2948,2.1135,0.35084,0,303.29,229.48,211.35,35.084,0,1
3.7731,7.2073,-1.6814,-0.94742,0,377.31,720.73,-168.14,-94.742,0,1
3.1557,2.8908,0.59693,0.79825,0,315.57,289.08,59.693,79.825,0,1
1.8114,7.6067,-0.9788,-2.4668,0,181.14,760.67,-97.88,-246.68,0,1
4.988,7.2052,-3.2846,-1.1608,0,498.8,720.52,-328.46,-116.08,0,1
2.483,6.6155,-0.79287,-0.90863,0,248.3,661.55,-79.287,-90.863,0,1
1.594,4.7055,1.3758,0.081882,0,159.4,470.55,137.58,8.1882,0,1
-0.016103,9.7484,0.15394,-1.6134,0,-1.6103,974.84,15.394,-161.34,0,1
3.8496,9.7939,-4.1508,-4.4582,0,384.96,979.39,-415.08,-445.82,0,1
0.9297,-3.7971,4.6429,-0.2957,0,92.97,-379.71,464.29,-29.57,0,1
4.9342,2.4107,-0.17594,1.6245,0,493.42,241.07,-17.594,162.45,0,1
3.8417,10.0215,-4.2699,-4.9159,0,384.17,1002.15,-426.99,-491.59,0,1
5.3915,9.9946,-3.8081,-3.3642,0,539.15,999.46,-380.81,-336.42,0,1
4.4072,-0.070365,2.0416,1.1319,0,440.72,-7.0365,204.16,113.19,0,1
2.6946,6.7976,-0.40301,0.44912,0,269.46,679.76,-40.301,44.912,0,1
5.2756,0.13863,0.12138,1.1435,0,527.56,13.863,12.138,114.35,0,1
3.4312,6.2637,-1.9513,-0.36165,0,343.12,626.37,-195.13,-36.165,0,1
4.052,-0.16555,0.45383,0.51248,0,405.2,-16.555,45.383,51.248,0,1
1.3638,-4.7759,8.4182,-1.8836,0,136.38,-477.59,841.82,-188.36,0,1
0.89566,7.7763,-2.7473,-1.9353,0,89.566,777.63,-274.73,-193.53,0,1
1.9265,7.7557,-0.16823,-3.0771,0,192.65,775.57,-16.823,-307.71,0,1
0.20977,-0.46146,7.7267,0.90946,0,20.977,-46.146,772.67,90.946,0,1
4.068,-2.9363,2.1992,0.50084,0,406.8,-293.63,219.92,50.084,0,1
2.877,-4.0599,3.6259,-0.32544,0,287.7,-405.99,362.59,-32.544,0,1
0.3223,-0.89808,8.0883,0.69222,0,32.23,-89.808,808.83,69.222,0,1
-1.3,10.2678,-2.953,-5.8638,0,-130,1026.78,-295.3,-586.38,0,1
1.7747,-6.4334,8.15,-0.89828,0,177.47,-643.34,815,-89.828,0,1
1.3419,-4.4221,8.09,-1.7349,0,134.19,-442.21,809,-173.49,0,1
0.89606,10.5471,-1.4175,-4.0327,0,89.606,1054.71,-141.75,-403.27,0,1
0.44125,2.9487,4.3225,0.7155,0,44.125,294.87,432.25,71.55,0,1
3.2422,6.2265,0.12224,-1.4466,0,324.22,622.65,12.224,-144.66,0,1
2.5678,3.5136,0.61406,-0.40691,0,256.78,351.36,61.406,-40.691,0,1
-2.2153,11.9625,0.078538,-7.7853,0,-221.53,1196.25,7.8538,-778.53,0,1
4.1349,6.1189,-2.4294,-0.19613,0,413.49,611.89,-242.94,-19.613,0,1
1.934,-9.28E-06,4.816,-0.33967,0,193.4,-0.00092828,481.6,-33.967,0,1
2.5068,1.1588,3.9249,0.12585,0,250.68,115.88,392.49,12.585,0,1
2.1464,6.0795,-0.5778,-2.2302,0,214.64,607.95,-57.78,-223.02,0,1
0.051979,7.0521,-2.0541,-3.1508,0,5.1979,705.21,-205.41,-315.08,0,1
1.2706,8.035,-0.19651,-2.1888,0,127.06,803.5,-19.651,-218.88,0,1
1.143,0.83391,5.4552,-0.56984,0,114.3,83.391,545.52,-56.984,0,1
2.2928,9.0386,-3.2417,-1.2991,0,229.28,903.86,-324.17,-129.91,0,1
0.3292,-4.4552,4.5718,-0.9888,0,32.92,-445.52,457.18,-98.88,0,1
2.9719,6.8369,-0.2702,0.71291,0,297.19,683.69,-27.02,71.291,0,1
1.6849,8.7489,-1.2641,-1.3858,0,168.49,874.89,-126.41,-138.58,0,1
-1.9177,11.6894,2.5454,-3.2763,0,-191.77,1168.94,254.54,-327.63,0,1
2.3729,10.4726,-3.0087,-3.2013,0,237.29,1047.26,-300.87,-320.13,0,1
1.0284,9.767,-1.3687,-1.7853,0,102.84,976.7,-136.87,-178.53,0,1
0.27451,9.2186,-3.2863,-4.8448,0,27.451,921.86,-328.63,-484.48,0,1
1.6032,-4.7863,8.5193,-2.1203,0,160.32,-478.63,851.93,-212.03,0,1
4.616,10.1788,-4.2185,-4.4245,0,461.6,1017.88,-421.85,-442.45,0,1
