Sex,Length,Diameter,Height,Whole_Weight,Shucked_Weight,Viscera_Weight,Shell_Weight,Rings,Scaled_Length,Scaled_Diameter,Scaled_Height,Scaled_Whole_Weight,Scaled_Shucked_Weight,Scaled_Viscera_Weight,Scaled_Shell_Weight,Scaled_Rings,Radius
I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10,380,275,100,225.5,80,49,85,100,1
F,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12,565,440,155,939.5,427.5,214,270,120,1
F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9,550,415,135,763.5,318,210,200,90,1
F,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10,615,480,165,1161.5,513,301,305,100,1
F,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,11,560,440,140,928.5,382.5,188,300,110,1
F,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11,580,450,185,995.5,394.5,272,285,110,1
M,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12,590,445,140,931,356,234,280,120,1
M,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,15,605,475,180,936.5,394,219,295,150,1
M,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,11,575,425,140,863.5,393,227,200,110,1
M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10,580,470,165,997.5,393.5,242,330,100,1
F,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15,680,560,165,1639,605.5,280.5,460,150,1
M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18,665,525,165,1338,551.5,357.5,350,180,1
F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19,680,550,175,1798,815,392.5,455,190,1
F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13,705,550,200,1709.5,633,411.5,490,130,1
M,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,8,465,355,105,479.5,227,124,125,80,1
F,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,16,540,475,155,1217,530.5,307.5,340,160,1
F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8,450,355,105,522.5,237,116.5,145,80,1
F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11,575,445,135,883,381,203.5,260,110,1
M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9,355,290,90,327.5,134,86,90,90,1
F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9,450,335,105,425,186.5,91,115,90,1
F,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14,550,425,135,851.5,362,196,270,140,1
I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5,240,175,45,70,31.5,23.5,20,50,1
I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5,205,150,55,42,25.5,15,12,50,1
I,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4,210,150,50,42,17.5,12.5,15,40,1
I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7,390,295,95,203,87.5,45,75,70,1
M,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,9,470,370,120,579.5,293,227,140,90,1
F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7,460,375,120,460.5,177.5,110,150,70,1
I,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6,325,245,70,161,75.5,25.5,45,60,1
F,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9,525,425,160,835.5,354.5,213.5,245,90,1
I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8,520,410,120,595,238.5,111,190,80,1
M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7,400,320,95,303,133.5,60,100,70,1
M,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10,485,360,130,541.5,259.5,96,160,100,1
F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10,470,360,120,477.5,210.5,105.5,150,100,1
M,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7,405,310,100,385,173,91.5,110,70,1
F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8,500,400,140,661.5,256.5,175.5,220,80,1
M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8,445,350,120,442.5,192,95.5,135,80,1
M,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8,470,385,135,589.5,276.5,120,170,80,1
I,0.245,0.19,0.06,0.086,0.042,0.014,0.025,4,245,190,60,86,42,14,25,40,1
F,0.505,0.4,0.125,0.583,0.246,0.13,0.175,7,505,400,125,583,246,130,175,70,1
M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7,450,345,105,411.5,180,112.5,135,70,1
M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9,505,405,110,625,305,160,175,90,1
F,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10,530,410,130,696.5,302,193.5,200,100,1
M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7,425,325,95,378.5,170.5,80,100,70,1
M,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8,520,400,120,580,234,131.5,185,80,1
M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8,475,355,120,480,234,101.5,135,80,1
F,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12,565,440,160,915,354,193.5,320,120,1
F,0.595,0.495,0.185,1.285,0.416,0.224,0.485,13,595,495,185,1285,416,224,485,130,1
F,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10,475,390,120,530.5,213.5,115.5,170,100,1
I,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6,310,235,70,151,63,40.5,45,60,1
M,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13,555,425,130,766.5,264,168,275,130,1
F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8,400,320,110,353,140.5,98.5,100,80,1
F,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20,595,475,170,1247,480,225,425,200,1
M,0.57,0.48,0.175,1.185,0.474,0.261,0.38,11,570,480,175,1185,474,261,380,110,1
F,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13,605,450,195,1098,481,289.5,315,130,1
F,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15,600,475,150,1007.5,442.5,221,280,150,1
M,0.595,0.475,0.14,0.944,0.3625,0.189,0.315,9,595,475,140,944,362.5,189,315,90,1
F,0.6,0.47,0.15,0.922,0.363,0.194,0.305,10,600,470,150,922,363,194,305,100,1
F,0.555,0.425,0.14,0.788,0.282,0.1595,0.285,11,555,425,140,788,282,159.5,285,110,1
F,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14,615,475,170,1102.5,469.5,235.5,345,140,1
F,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9,575,445,140,941,384.5,252,285,90,1
M,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12,620,510,175,1615,510.5,192,675,120,1
F,0.52,0.425,0.165,0.9885,0.396,0.225,0.32,16,520,425,165,988.5,396,225,320,160,1
M,0.595,0.475,0.16,1.3175,0.408,0.234,0.58,21,595,475,160,1317.5,408,234,580,210,1
M,0.58,0.45,0.14,1.013,0.38,0.216,0.36,14,580,450,140,1013,380,216,360,140,1
F,0.57,0.465,0.18,1.295,0.339,0.2225,0.44,12,570,465,180,1295,339,222.5,440,120,1
M,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13,625,465,140,1195,482.5,205,400,130,1
M,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,10,560,440,160,864.5,330.5,207.5,260,100,1
F,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9,460,355,130,517,220.5,114,165,90,1
F,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,12,575,450,160,977.5,313.5,231,330,120,1
M,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15,565,425,135,811.5,341,167.5,255,150,1
M,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12,555,440,150,755,307,152.5,260,120,1
M,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13,595,465,175,1115,401.5,254,390,130,1
F,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10,625,495,165,1262,507,318,390,100,1
M,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15,695,560,190,1494,588,342.5,485,150,1
M,0.665,0.535,0.195,1.606,0.5755,0.388,0.48,14,665,535,195,1606,575.5,388,480,140,1
M,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,9,535,435,150,725,269,138.5,250,90,1
M,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8,470,375,130,523,214,132,145,80,1
M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7,470,370,130,522.5,201,133,165,70,1
F,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10,475,375,125,578.5,277.5,85,155,100,1
I,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,7,360,265,95,231.5,105,46,75,70,1
M,0.55,0.435,0.145,0.843,0.328,0.1915,0.255,15,550,435,145,843,328,191.5,255,150,1
M,0.53,0.435,0.16,0.883,0.316,0.164,0.335,15,530,435,160,883,316,164,335,150,1
M,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,10,530,415,140,724,310.5,167.5,205,100,1
M,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12,605,470,160,1173.5,497.5,240.5,345,120,1
F,0.52,0.41,0.155,0.727,0.291,0.1835,0.235,12,520,410,155,727,291,183.5,235,120,1
F,0.545,0.43,0.165,0.802,0.2935,0.183,0.28,11,545,430,165,802,293.5,183,280,110,1
F,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10,500,400,125,667.5,261,131.5,220,100,1
F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9,510,390,135,633.5,231,179,200,90,1
F,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,9,435,395,105,363.5,136,98,130,90,1
M,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9,495,395,125,541.5,237.5,134.5,155,90,1
M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9,465,360,105,431,172,107,175,90,1
I,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9,435,320,80,332.5,148.5,63.5,105,90,1
M,0.425,0.35,0.105,0.393,0.13,0.063,0.165,9,425,350,105,393,130,63,165,90,1
F,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11,545,410,125,693.5,297.5,146,210,110,1
F,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11,530,415,115,591.5,233,158.5,180,110,1
F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11,490,375,135,612.5,255.5,102,220,110,1
M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10,440,340,105,402,130.5,95.5,165,100,1
F,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9,560,430,150,882.5,346.5,172,310,90,1
M,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,8,405,305,85,260.5,114.5,59.5,85,80,1
F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9,470,365,105,420.5,163,103.5,140,90,1
I,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7,385,295,85,253.5,103,57.5,85,70,1
F,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14,515,425,140,766,304,172.5,255,140,1
M,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6,370,265,75,214,90,51,70,60,1
I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6,360,280,80,175.5,81,50.5,70,60,1
I,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5,270,195,60,73,28.5,23.5,30,50,1
I,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,6,375,275,90,238,107.5,54.5,70,60,1
I,0.385,0.29,0.085,0.2505,0.112,0.061,0.08,8,385,290,85,250.5,112,61,80,80,1
M,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19,700,535,160,1725.5,630,263.5,540,190,1
M,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18,710,540,165,1959,766.5,261,780,180,1
M,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,17,595,480,165,1262,483.5,283,410,170,1
F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9,440,350,125,403.5,175,63,129,90,1
F,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7,325,260,90,191.5,85,36,62,70,1
I,0.35,0.26,0.095,0.211,0.086,0.056,0.068,7,350,260,95,211,86,56,68,70,1
I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7,265,200,65,97.5,40,20.5,28,70,1
F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8,425,330,115,406,163.5,81,135.5,80,1
F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7,305,230,80,156,67.5,34.5,48,70,1
M,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,9,345,255,90,200.5,94,29.5,63,90,1
F,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,9,405,325,110,355.5,151,63,117,90,1
M,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9,375,285,95,253,96,57.5,92.5,90,1
F,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10,565,445,155,826,341,205.5,247.5,100,1
F,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10,550,450,145,741,295,143.5,266.5,100,1
M,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16,650,520,190,1344.5,519,306,446.5,160,1
M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11,560,455,155,797,340,190,242.5,110,1
M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10,475,375,130,517.5,207.5,116.5,170,100,1
F,0.49,0.38,0.125,0.549,0.245,0.1075,0.174,10,490,380,125,549,245,107.5,174,100,1
M,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10,460,350,120,515,224,108,156.5,100,1
I,0.28,0.205,0.08,0.127,0.052,0.039,0.042,9,280,205,80,127,52,39,42,90,1
I,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,5,175,130,55,31.5,10.5,6.5,12.5,50,1
I,0.17,0.13,0.095,0.03,0.013,0.008,0.01,4,170,130,95,30,13,8,10,40,1
M,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15,590,475,145,1053,441.5,262,325,150,1
F,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9,605,500,185,1118.5,469,258.5,335,90,1
F,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,10,635,515,190,1371.5,506.5,305,450,100,1
F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10,605,485,160,1056.5,370,235.5,355,100,1
F,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,12,565,450,135,988.5,387,149.5,310,120,1
M,0.515,0.405,0.13,0.722,0.32,0.131,0.21,10,515,405,130,722,320,131,210,100,1
F,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,13,575,460,190,994,392,242.5,340,130,1
M,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,16,645,485,215,1514,546,261.5,635,160,1
F,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,13,580,455,170,907.5,374,213.5,285,130,1
F,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13,575,460,165,1124,298.5,178.5,440,130,1
M,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13,605,465,165,1056,421.5,247.5,340,130,1
F,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,13,605,485,160,1222,530,257.5,280,130,1
M,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,12,610,485,175,1244.5,544,297,345,120,1
F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,18,725,560,210,2141,650,398,1005,180,1
F,0.65,0.545,0.23,1.752,0.5605,0.2895,0.815,16,650,545,230,1752,560.5,289.5,815,160,1
M,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14,725,570,190,2550,1070.5,483,725,140,1
F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20,725,575,175,2124,765,451.5,850,200,1
F,0.68,0.57,0.205,1.842,0.625,0.408,0.65,20,680,570,205,1842,625,408,650,200,1
M,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,14,705,560,220,1981,817.5,308.5,760,140,1
F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12,680,515,175,1618.5,512.5,409,620,120,1
M,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14,695,550,215,1956.5,712.5,541,590,140,1
F,0.53,0.395,0.145,0.775,0.308,0.169,0.255,7,530,395,145,775,308,169,255,70,1
M,0.525,0.435,0.155,1.065,0.486,0.233,0.285,8,525,435,155,1065,486,233,285,80,1
F,0.52,0.405,0.115,0.776,0.32,0.1845,0.22,8,520,405,115,776,320,184.5,220,80,1
I,0.235,0.16,0.04,0.048,0.0185,0.018,0.015,5,235,160,40,48,18.5,18,15,50,1
I,0.36,0.26,0.09,0.1785,0.0645,0.037,0.075,7,360,260,90,178.5,64.5,37,75,70,1
I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5,315,210,60,125,60,37.5,35,50,1
I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8,315,245,85,143.5,53,47.5,50,80,1
I,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,4,225,160,45,46.5,25,15,15,40,1
M,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11,580,475,150,970,385,216.5,350,110,1
M,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14,570,480,180,939.5,399,200,295,140,1
M,0.64,0.51,0.175,1.368,0.515,0.266,0.57,21,640,510,175,1368,515,266,570,210,1
F,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,10,560,450,160,1023.5,429,268,300,100,1
F,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,10,620,475,175,1016.5,435.5,214,325,100,1
F,0.645,0.51,0.2,1.5675,0.621,0.367,0.46,12,645,510,200,1567.5,621,367,460,120,1
M,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13,620,490,190,1218,545.5,296.5,355,130,1
F,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12,630,480,150,1052.5,392,336,285,120,1
F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10,630,500,185,1383,540,331.5,380,100,1
F,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,11,630,480,160,1199,526.5,335,315,110,1
F,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,9,585,460,170,932.5,365,271,290,90,1
M,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,13,615,480,180,1159.5,484.5,216.5,325,130,1
M,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12,610,485,170,1022.5,419,240.5,360,120,1
M,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,14,580,450,150,927,276,181.5,360,140,1
I,0.355,0.275,0.085,0.22,0.092,0.06,0.15,8,355,275,85,220,92,60,150,80,1
F,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,10,510,400,140,814.5,459,196.5,195,100,1
M,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,12,500,405,155,772,346,153.5,245,120,1
F,0.505,0.41,0.15,0.644,0.285,0.145,0.21,11,505,410,150,644,285,145,210,110,1
M,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,16,640,500,185,1303.5,444.5,263.5,465,160,1
M,0.56,0.45,0.16,0.922,0.432,0.178,0.26,15,560,450,160,922,432,178,260,150,1
M,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10,585,460,185,922,363.5,213,285,100,1
F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9,450,345,120,416.5,165.5,95,135,90,1
M,0.5,0.4,0.165,0.825,0.254,0.205,0.285,13,500,400,165,825,254,205,285,130,1
F,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,12,500,400,145,630,234,146.5,230,120,1
F,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13,530,435,170,815.5,298.5,155,275,130,1
M,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8,420,335,115,369,171,71,120,80,1
F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9,440,340,140,482,186,108.5,160,90,1
I,0.4,0.3,0.11,0.315,0.109,0.067,0.12,9,400,300,110,315,109,67,120,90,1
I,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,8,435,340,110,379.5,149.5,85,120,80,1
F,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,13,525,415,170,832.5,275.5,168.5,310,130,1
I,0.37,0.28,0.095,0.2655,0.122,0.052,0.08,7,370,280,95,265.5,122,52,80,70,1
F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10,490,365,145,634.5,199.5,162.5,220,100,1
M,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,7,335,250,90,181,75.5,41.5,60,70,1
F,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,12,415,325,105,380,159.5,78.5,120,120,1
M,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,9,500,405,140,615.5,241,135.5,205,90,1
F,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14,485,395,160,660,247.5,128,235,140,1
M,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,10,550,405,140,802.5,244,163.5,255,100,1
M,0.45,0.35,0.13,0.46,0.174,0.111,0.135,8,450,350,130,460,174,111,135,80,1
I,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7,405,300,120,324,126.5,70,110,70,1
M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10,470,360,135,501,166.5,115,165,100,1
F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,8,415,305,130,320,130.5,75.5,105,80,1
F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9,445,325,125,455,178.5,112.5,140,90,1
F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11,470,350,145,517.5,187,123.5,180,110,1
F,0.49,0.375,0.15,0.5755,0.22,0.144,0.19,9,490,375,150,575.5,220,144,190,90,1
F,0.445,0.355,0.15,0.485,0.181,0.125,0.155,11,445,355,150,485,181,125,155,110,1
I,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,10,425,380,105,326.5,128.5,78.5,100,100,1
F,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,9,500,370,135,450,171.5,105.5,155,90,1
F,0.39,0.29,0.125,0.3055,0.121,0.082,0.09,7,390,290,125,305.5,121,82,90,70,1
I,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,7,365,270,85,205,78,48.5,70,70,1
F,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,11,580,465,165,1101.5,404,209.5,350,110,1
F,0.53,0.415,0.16,0.783,0.2935,0.158,0.245,15,530,415,160,783,293.5,158,245,150,1
M,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,13,555,445,135,836,336,162.5,275,130,1
M,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14,565,440,175,902.5,310,193,325,140,1
M,0.625,0.505,0.215,1.4455,0.496,0.287,0.435,22,625,505,215,1445.5,496,287,435,220,1
I,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,7,275,215,75,115.5,48.5,29,35,70,1
I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12,440,350,135,435,181.5,83,125,120,1
I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9,295,225,80,124,48.5,32,40,90,1
I,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,1,75,55,10,2,1,0.5,1.5,10,1
I,0.13,0.1,0.03,0.013,0.0045,0.003,0.004,3,130,100,30,13,4.5,3,4,30,1
I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,3,110,90,30,8,2.5,2,3,30,1
I,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5,160,120,35,21,7.5,4.5,5,50,1
M,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17,565,425,160,942.5,349.5,218.5,275,170,1
I,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,5,270,200,70,100,34,24.5,35,50,1
I,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,5,230,175,65,64.5,26,10.5,20,50,1
I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8,300,230,80,127.5,43.5,26.5,40,80,1
I,0.33,0.255,0.085,0.1655,0.063,0.039,0.06,8,330,255,85,165.5,63,39,60,80,1
I,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,10,350,260,85,174,70.5,34.5,60,100,1
I,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,13,320,245,80,158.5,63.5,32.5,50,130,1
I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9,360,275,85,197.5,74.5,41.5,70,90,1
I,0.305,0.245,0.075,0.156,0.0675,0.038,0.045,7,305,245,75,156,67.5,38,45,70,1
I,0.345,0.27,0.11,0.2135,0.082,0.0545,0.07,7,345,270,110,213.5,82,54.5,70,70,1
I,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,7,330,250,105,171.5,65.5,35,60,70,1
