FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,Quality,Radius,Scaled_FixedAcidity,Scaled_VolatileAcidity,Scaled_CitricAcid,Scaled_ResidualSugar,Scaled_Chlorides,Scaled_FreeSulfurDioxide,Scaled_TotalSulfurDioxide,Scaled_Density,Scaled_pH,Scaled_Sulphates,Scaled_Alcohol,Scaled_Quality
6.9,0.24,0.35,1,0.052,35,146,0.993,3.45,0.44,10,6,1,690,240,350,100,520,350,1460,993,345,44,1000,600
7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6,1,700,280,390,870,510,320,1410,996.1,338,53,1050,600
7.4,0.27,0.48,1.1,0.047,17,132,0.9914,3.19,0.49,11.6,6,1,740,270,480,110,470,170,1320,991.4,319,49,1160,600
7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,7,1,720,320,360,200,330,370,1140,990.6,310,71,1230,700
8.5,0.24,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10,6,1,850,240,390,1040,440,200,1420,997.4,320,53,1000,600
8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,6,1,830,140,340,110,420,70,470,993.4,347,40,1020,600
7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,6,1,740,250,360,205,500,310,1000,992,319,44,1080,600
6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9,6,1,620,120,340,150,450,430,1170,993.9,342,51,900,600
5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2,5,1,580,270,200,1495,440,220,1790,996.2,337,37,1020,500
7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,5,1,730,280,430,170,800,210,1230,990.5,319,42,1280,500
6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,5,1,650,390,230,540,510,250,1490,993.4,324,35,1000,500
7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,6,1,700,330,320,120,530,380,1380,990.6,313,28,1120,600
7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5,1,730,240,390,1795,570,450,1490,999.9,321,36,860,500
7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5,1,730,240,390,1795,570,450,1490,999.9,321,36,860,500
6.7,0.23,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,6,1,670,230,390,250,1720,630,1580,993.7,311,36,940,600
6.7,0.24,0.39,2.9,0.173,63,157,0.9937,3.1,0.34,9.4,6,1,670,240,390,290,1730,630,1570,993.7,310,34,940,600
7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6,1,700,310,260,740,690,280,1600,995.4,313,46,980,600
6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,6,1,660,240,270,140,570,330,1520,993.4,322,56,950,600
6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,6,1,670,230,260,140,600,330,1540,993.4,324,56,950,600
7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,7,1,740,180,310,140,580,380,1670,993.1,316,53,1000,700
6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,4,1,620,450,260,440,630,630,2060,994,327,52,980,400
6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,5,1,620,460,250,440,660,620,2070,993.9,325,52,980,500
7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6,1,700,310,260,740,690,280,1600,995.4,313,46,980,600
6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,5,1,690,190,350,500,670,320,1500,995,336,48,980,500
7.2,0.19,0.31,1.6,0.062,31,173,0.9917,3.35,0.44,11.7,6,1,720,190,310,160,620,310,1730,991.7,335,44,1170,600
6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,7,1,660,250,290,110,680,390,1240,991.4,334,58,1100,700
6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,7,1,620,160,330,110,570,210,820,991,332,46,1090,700
6.4,0.18,0.35,1,0.045,39,108,0.9911,3.31,0.35,10.9,6,1,640,180,350,100,450,390,1080,991.1,331,35,1090,600
6.8,0.2,0.59,0.9,0.147,38,132,0.993,3.05,0.38,9.1,6,1,680,200,590,90,1470,380,1320,993,305,38,910,600
6.9,0.25,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,6,1,690,250,350,130,390,290,1910,990.8,313,52,1100,600
7.2,0.21,0.34,11.9,0.043,37,213,0.9962,3.09,0.5,9.6,6,1,720,210,340,1190,430,370,2130,996.2,309,50,960,600
6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6,1,600,190,260,1240,480,500,1470,997.2,330,36,890,600
6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6,1,660,380,150,460,440,250,780,993.1,311,38,1020,600
7.4,0.2,0.36,1.2,0.038,44,111,0.9926,3.36,0.34,9.9,6,1,740,200,360,120,380,440,1110,992.6,336,34,990,600
6.8,0.22,0.24,4.9,0.092,30,123,0.9951,3.03,0.46,8.6,6,1,680,220,240,490,920,300,1230,995.1,303,46,860,600
6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6,1,600,190,260,1240,480,500,1470,997.2,330,36,890,600
7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5,5,1,700,470,70,110,350,170,1510,991,302,34,1050,500
6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6,1,660,380,150,460,440,250,780,993.1,311,38,1020,600
7.2,0.24,0.27,1.4,0.038,31,122,0.9927,3.15,0.46,10.3,6,1,720,240,270,140,380,310,1220,992.7,315,46,1030,600
6.2,0.35,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1,5,1,620,350,30,120,640,290,1200,993.4,322,54,910,500
6.4,0.26,0.24,6.4,0.04,27,124,0.9903,3.22,0.49,12.6,7,1,640,260,240,640,400,270,1240,990.3,322,49,1260,700
6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8,5,1,670,250,130,120,410,810,1740,992,314,42,980,500
6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8,1,670,230,310,210,460,300,960,992.6,333,64,1070,800
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5,1,740,240,290,1010,500,210,1050,996.2,313,35,950,500
6.2,0.27,0.43,7.8,0.056,48,244,0.9956,3.1,0.51,9,6,1,620,270,430,780,560,480,2440,995.6,310,51,900,600
6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5,1,680,300,230,460,610,505,2385,995.8,332,60,950,500
6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,5,1,600,270,280,480,630,310,2010,996.4,369,71,1000,500
8.6,0.23,0.46,1,0.054,9,72,0.9941,2.95,0.49,9.1,6,1,860,230,460,100,540,90,720,994.1,295,49,910,600
6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8,1,670,230,310,210,460,300,960,992.6,333,64,1070,800
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5,1,740,240,290,1010,500,210,1050,996.2,313,35,950,500
7.1,0.18,0.36,1.4,0.043,31,87,0.9898,3.26,0.37,12.7,7,1,710,180,360,140,430,310,870,989.8,326,37,1270,700
7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,7,1,700,320,340,130,420,200,690,991.2,331,65,1200,700
7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3,5,1,740,180,300,880,640,260,1030,996.1,294,56,930,500
6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,5,1,670,540,280,540,600,210,1050,994.9,327,37,900,500
6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,6,1,680,220,310,140,530,340,1140,992.9,339,77,1060,600
7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,6,1,710,200,340,1600,500,510,1660,998.5,321,60,920,600
7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,5,1,710,340,200,610,630,470,1640,994.6,317,42,1000,500
7.3,0.22,0.3,8.2,0.047,42,207,0.9966,3.33,0.46,9.5,6,1,730,220,300,820,470,420,2070,996.6,333,46,950,600
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,1,710,430,610,1180,450,540,1550,997.4,311,45,870,500
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6,1,710,440,620,1180,440,520,1520,997.5,312,46,870,600
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6,1,720,390,630,1100,440,550,1560,997.4,309,44,870,600
6.8,0.25,0.31,13.3,0.05,69,202,0.9972,3.22,0.48,9.7,6,1,680,250,310,1330,500,690,2020,997.2,322,48,970,600
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,1,710,430,610,1180,450,540,1550,997.4,311,45,870,500
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6,1,710,440,620,1180,440,520,1520,997.5,312,46,870,600
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6,1,720,390,630,1100,440,550,1560,997.4,309,44,870,600
6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,5,1,610,270,430,750,490,650,2430,995.7,312,47,900,500
6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,7,1,690,240,330,170,350,470,1360,990,326,40,1260,700
6.9,0.21,0.33,1.8,0.034,48,136,0.9899,3.25,0.41,12.6,7,1,690,210,330,180,340,480,1360,989.9,325,41,1260,700
7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,7,1,750,170,320,170,400,510,1480,991.6,321,44,1150,700
7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,6,1,710,260,290,1240,440,620,2400,996.9,304,42,920,600
6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6,1,600,340,660,1590,460,260,1640,997.9,314,50,880,600
8.6,0.265,0.36,1.2,0.034,15,80,0.9913,2.95,0.36,11.4,7,1,860,265,360,120,340,150,800,991.3,295,36,1140,700
9.8,0.36,0.46,10.5,0.038,4,83,0.9956,2.89,0.3,10.1,4,1,980,360,460,1050,380,40,830,995.6,289,30,1010,400
6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6,1,600,340,660,1590,460,260,1640,997.9,314,50,880,600
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5,1,740,250,370,1350,600,520,1920,997.5,300,44,910,500
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5,1,710,120,320,960,540,640,1620,996.2,340,41,940,500
6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,5,1,600,210,240,1210,500,550,1640,997,334,39,940,500
7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,5,1,750,305,400,1890,590,440,1700,1000,299,46,900,500
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5,1,740,250,370,1350,600,520,1920,997.5,300,44,910,500
7.3,0.13,0.32,14.4,0.051,34,109,0.9974,3.2,0.35,9.2,6,1,730,130,320,1440,510,340,1090,997.4,320,35,920,600
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5,1,710,120,320,960,540,640,1620,996.2,340,41,940,500
7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6,1,710,230,350,1650,400,600,1710,999,316,59,910,600
7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6,1,710,230,350,1650,400,600,1710,999,316,59,910,600
6.9,0.33,0.28,1.3,0.051,37,187,0.9927,3.27,0.6,10.3,5,1,690,330,280,130,510,370,1870,992.7,327,60,1030,500
6.5,0.17,0.54,8.5,0.082,64,163,0.9959,2.89,0.39,8.8,6,1,650,170,540,850,820,640,1630,995.9,289,39,880,600
7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,5,1,720,270,460,1875,520,450,2550,1000,304,52,890,500
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5,1,720,310,500,1330,560,680,1950,998.2,301,47,920,500
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5,1,670,410,340,920,490,290,1500,996.8,322,51,910,500
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5,1,670,410,340,920,490,290,1500,996.8,322,51,910,500
5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,4,1,550,485,0,150,650,80,1030,994,363,40,970,400
6,0.31,0.24,3.3,0.041,25,143,0.9914,3.31,0.44,11.3,6,1,600,310,240,330,410,250,1430,991.4,331,44,1130,600
7,0.14,0.4,1.7,0.035,16,85,0.9911,3.19,0.42,11.8,6,1,700,140,400,170,350,160,850,991.1,319,42,1180,600
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5,1,720,310,500,1330,560,680,1950,998.2,301,47,920,500
7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2,5,1,730,320,480,1330,600,570,1960,998.2,304,50,920,500
5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2,5,1,590,360,40,570,460,210,870,993.4,322,51,1020,500
7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8,5,1,780,240,320,1220,540,420,1380,998.4,301,54,880,500
7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,5,1,740,160,310,685,590,310,1310,995.2,329,34,970,500
6.9,0.19,0.28,5,0.058,14,146,0.9952,3.29,0.36,9.1,6,1,690,190,280,500,580,140,1460,995.2,329,36,910,600
6.4,0.13,0.47,1.6,0.092,40,158,0.9928,3.21,0.36,9.8,6,1,640,130,470,160,920,400,1580,992.8,321,36,980,600
6.7,0.19,0.36,1.1,0.026,63,143,0.9912,3.27,0.48,11,6,1,670,190,360,110,260,630,1430,991.2,327,48,1100,600
7.4,0.39,0.23,7,0.033,29,126,0.994,3.14,0.42,10.5,5,1,740,390,230,700,330,290,1260,994,314,42,1050,500
6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7,1,650,240,320,760,380,480,2030,995.8,345,54,970,700
6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,7,1,610,300,560,280,440,470,1790,992.4,330,57,1090,700
6.1,0.3,0.56,2.7,0.046,46,184,0.9924,3.31,0.57,10.9,6,1,610,300,560,270,460,460,1840,992.4,331,57,1090,600
5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,5,1,570,260,250,1040,200,70,570,994,339,37,1060,500
6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7,1,650,240,320,760,380,480,2030,995.8,345,54,970,700
6.5,0.425,0.4,13.1,0.038,59,241,0.9979,3.23,0.57,9,5,1,650,425,400,1310,380,590,2410,997.9,323,57,900,500
6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,5,1,660,240,270,1580,350,460,1880,998.2,324,51,920,500
6.8,0.27,0.22,8.1,0.034,55,203,0.9961,3.19,0.52,8.9,5,1,680,270,220,810,340,550,2030,996.1,319,52,890,500
6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,5,1,670,270,310,1570,360,440,1790,997.9,326,56,960,500
8.2,0.23,0.4,1.2,0.027,36,121,0.992,3.12,0.38,10.7,6,1,820,230,400,120,270,360,1210,992,312,38,1070,600
7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5,1,710,370,670,1050,450,490,1550,997.5,316,44,870,500
6.8,0.19,0.36,1.9,0.035,30,96,0.9917,3.15,0.54,10.8,7,1,680,190,360,190,350,300,960,991.7,315,54,1080,700
8.1,0.28,0.39,1.9,0.029,18,79,0.9923,3.23,0.52,11.8,6,1,810,280,390,190,290,180,790,992.3,323,52,1180,600
6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2,5,1,630,310,340,220,450,200,770,992.7,330,43,1020,500
7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5,1,710,370,670,1050,450,490,1550,997.5,316,44,870,500
7.9,0.21,0.4,1.2,0.039,38,107,0.992,3.21,0.54,10.8,6,1,790,210,400,120,390,380,1070,992,321,54,1080,600
8.5,0.21,0.41,4.3,0.036,24,99,0.9947,3.18,0.53,9.7,6,1,850,210,410,430,360,240,990,994.7,318,53,970,600
8.1,0.2,0.4,2,0.037,19,87,0.9921,3.12,0.54,11.2,6,1,810,200,400,200,370,190,870,992.1,312,54,1120,600
6.3,0.255,0.37,1.1,0.04,37,114,0.9905,3,0.39,10.9,6,1,630,255,370,110,400,370,1140,990.5,300,39,1090,600
5.6,0.16,0.27,1.4,0.044,53,168,0.9918,3.28,0.37,10.1,6,1,560,160,270,140,440,530,1680,991.8,328,37,1010,600
6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9,4,1,640,595,140,520,580,150,970,995.1,338,36,900,400
6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,7,1,630,340,330,460,340,190,800,991.7,338,58,1200,700
6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6,1,690,250,300,410,540,230,1160,994,299,38,940,600
7.9,0.22,0.38,8,0.043,46,152,0.9934,3.12,0.32,11.5,7,1,790,220,380,800,430,460,1520,993.4,312,32,1150,700
7.6,0.18,0.46,10.2,0.055,58,135,0.9968,3.14,0.43,9.9,6,1,760,180,460,1020,550,580,1350,996.8,314,43,990,600
6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6,1,690,250,300,410,540,230,1160,994,299,38,940,600
7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,5,1,720,180,410,120,480,410,970,991.9,314,45,1040,500
8.2,0.23,0.4,7.5,0.049,12,76,0.9966,3.06,0.84,9.7,6,1,820,230,400,750,490,120,760,996.6,306,84,970,600
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,1,740,240,420,1400,660,480,1980,997.9,289,42,890,600
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,1,740,240,420,1400,660,480,1980,997.9,289,42,890,600
6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,7,1,610,320,240,150,360,380,1240,989.8,329,42,1240,700
5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8,1,520,440,40,140,360,430,1190,989.4,336,33,1210,800
5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8,1,520,440,40,140,360,430,1190,989.4,336,33,1210,800
6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,7,1,610,320,240,150,360,380,1240,989.8,329,42,1240,700
6.4,0.22,0.56,14.5,0.055,27,159,0.998,2.98,0.4,9.1,5,1,640,220,560,1450,550,270,1590,998,298,40,910,500
6.3,0.36,0.3,4.8,0.049,14,85,0.9932,3.28,0.39,10.6,5,1,630,360,300,480,490,140,850,993.2,328,39,1060,500
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,1,740,240,420,1400,660,480,1980,997.9,289,42,890,600
6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,5,1,670,240,350,1310,500,640,2050,997,315,50,950,500
7,0.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8,5,1,700,230,360,1300,510,720,1770,997.2,316,49,980,500
8.4,0.27,0.46,8.7,0.048,39,197,0.9974,3.14,0.59,9.6,6,1,840,270,460,870,480,390,1970,997.4,314,59,960,600
6.7,0.46,0.18,2.4,0.034,25,98,0.9896,3.08,0.44,12.6,7,1,670,460,180,240,340,250,980,989.6,308,44,1260,700
7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,5,1,750,290,310,895,550,200,1510,996.8,308,54,930,500
9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10,5,1,980,420,480,985,340,50,1100,995.8,287,29,1000,500
7.1,0.3,0.46,1.5,0.066,29,133,0.9906,3.12,0.54,12.7,6,1,710,300,460,150,660,290,1330,990.6,312,54,1270,600
7.9,0.19,0.45,1.5,0.045,17,96,0.9917,3.13,0.39,11,6,1,790,190,450,150,450,170,960,991.7,313,39,1100,600
7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4,4,1,760,480,370,80,370,40,1000,990.2,303,39,1140,400
6.3,0.22,0.43,4.55,0.038,31,130,0.9918,3.35,0.33,11.5,7,1,630,220,430,455,380,310,1300,991.8,335,33,1150,700
7.5,0.27,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2,5,1,750,270,310,1770,510,330,1730,999,309,64,1020,500
6.9,0.23,0.4,7.5,0.04,50,151,0.9927,3.11,0.27,11.4,6,1,690,230,400,750,400,500,1510,992.7,311,27,1140,600
7.2,0.32,0.47,5.1,0.044,19,65,0.991,3.03,0.41,12.6,4,1,720,320,470,510,440,190,650,991,303,41,1260,400
5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4,5,1,590,230,300,1290,540,570,1700,997.2,328,39,940,500
6,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7,4,1,600,670,70,120,600,90,1080,993.1,311,35,870,400
6.4,0.25,0.32,5.5,0.049,41,176,0.995,3.19,0.68,9.2,6,1,640,250,320,550,490,410,1760,995,319,68,920,600
6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,6,1,640,330,310,550,480,420,1730,995.1,319,66,930,600
7.1,0.34,0.15,1.2,0.053,61,183,0.9936,3.09,0.43,9.2,5,1,710,340,150,120,530,610,1830,993.6,309,43,920,500
6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5,1,680,280,400,2200,480,480,1670,1001,293,50,870,500
6.9,0.27,0.4,14,0.05,64,227,0.9979,3.18,0.58,9.6,6,1,690,270,400,1400,500,640,2270,997.9,318,58,960,600
6.8,0.26,0.56,11.9,0.043,64,226,0.997,3.02,0.63,9.3,5,1,680,260,560,1190,430,640,2260,997,302,63,930,500
6.8,0.29,0.56,11.9,0.043,66,230,0.9972,3.02,0.63,9.3,5,1,680,290,560,1190,430,660,2300,997.2,302,63,930,500
6.7,0.24,0.41,9.4,0.04,49,166,0.9954,3.12,0.61,9.9,6,1,670,240,410,940,400,490,1660,995.4,312,61,990,600
5.9,0.3,0.23,4.2,0.038,42,119,0.9924,3.15,0.5,11,5,1,590,300,230,420,380,420,1190,992.4,315,50,1100,500
6.8,0.53,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7,8,1,680,530,350,380,340,260,1090,990.6,326,57,1270,800
