FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,Quality,Radius,Scaled_FixedAcidity,Scaled_VolatileAcidity,Scaled_CitricAcid,Scaled_ResidualSugar,Scaled_Chlorides,Scaled_FreeSulfurDioxide,Scaled_TotalSulfurDioxide,Scaled_Density,Scaled_pH,Scaled_Sulphates,Scaled_Alcohol,Scaled_Quality
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,1,750,500,360,610,710,170,1020,997.8,335,80,1050,500
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5,1,560,615,0,160,890,160,590,994.3,358,52,990,500
7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5,1,780,610,290,160,1140,90,290,997.4,326,156,910,500
8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,5,1,890,620,180,380,1760,520,1450,998.6,316,88,920,500
8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,5,1,890,620,190,390,1700,510,1480,998.6,317,93,920,500
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7,1,850,280,560,180,920,350,1030,996.9,330,75,1050,700
8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5,1,810,560,280,170,3680,160,560,996.8,311,128,930,500
7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,4,1,740,590,80,440,860,60,290,997.4,338,50,900,400
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6,1,790,320,510,180,3410,170,560,996.9,304,108,920,600
8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,6,1,890,220,480,180,770,290,600,996.8,339,53,940,600
7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5,1,760,390,310,230,820,230,710,998.2,352,65,970,500
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,1,790,430,210,160,1060,100,370,996.6,317,91,950,500
8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5,1,850,490,110,230,840,90,670,996.8,317,53,940,500
6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6,1,690,400,140,240,850,210,400,996.8,343,63,970,600
6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5,1,630,390,160,140,800,110,230,995.5,334,56,930,500
7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,5,1,760,410,240,180,800,40,110,996.2,328,59,950,500
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,1,790,430,210,160,1060,100,370,996.6,317,91,950,500
7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,5,1,710,710,0,190,800,140,350,997.2,347,55,940,500
7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,6,1,780,645,0,200,820,80,160,996.4,338,59,980,600
6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5,1,670,675,70,240,890,170,820,995.8,335,54,1010,500
6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,6,1,690,685,0,250,1050,220,370,996.6,346,57,1060,600
8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5,1,830,655,120,230,830,150,1130,996.6,317,66,980,500
6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,6,1,690,605,120,1070,730,400,830,999.3,345,52,940,600
5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,5,1,520,320,250,180,1030,130,500,995.7,338,55,920,500
7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6,1,780,645,0,550,860,50,180,998.6,340,55,960,600
7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6,1,780,600,140,240,860,30,150,997.5,342,60,1080,600
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7,1,810,380,280,210,660,130,300,996.8,323,73,970,700
5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4,1,570,1130,90,150,1720,70,190,994,350,48,980,400
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,1,730,450,360,590,740,120,870,997.8,333,83,1050,500
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,1,730,450,360,590,740,120,870,997.8,333,83,1050,500
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4,1,880,610,300,280,880,170,460,997.6,326,51,930,400
7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,6,1,750,490,200,260,3320,80,140,996.8,321,90,1050,600
8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5,1,810,660,220,220,690,90,230,996.8,330,120,1030,500
6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,5,1,680,670,20,180,500,50,110,996.2,348,52,950,500
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4,1,460,520,150,210,540,80,650,993.4,390,56,1310,400
7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,5,1,770,935,430,220,1140,220,1140,997,325,73,920,500
8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,5,1,870,290,520,160,1130,120,370,996.9,325,58,950,500
6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,5,1,640,400,230,160,660,50,120,995.8,334,56,920,500
5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5,1,560,310,370,140,740,120,960,995.4,332,58,920,500
8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5,1,880,660,260,170,740,40,230,997.1,315,74,920,500
6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6,1,660,520,40,220,690,80,150,995.6,340,63,940,600
6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6,1,660,500,40,210,680,60,140,995.5,339,64,940,600
8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,5,1,860,380,360,300,810,300,1190,997,320,56,940,500
7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6,1,760,510,150,280,1100,330,730,995.5,317,63,1020,600
7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,5,1,770,620,40,380,840,250,450,997.8,334,53,950,500
10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5,1,1020,420,570,340,700,40,100,997.1,304,63,960,500
7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,5,1,750,630,120,510,1110,500,1100,998.3,326,77,940,500
7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,5,1,780,590,180,230,760,170,540,997.5,343,59,1000,500
7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6,1,730,390,310,240,740,90,460,996.2,341,54,940,600
8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5,1,880,400,400,220,790,190,520,998,344,64,920,500
7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,5,1,770,690,490,180,1150,200,1120,996.8,321,71,930,500
7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7,1,750,520,160,190,850,120,350,996.8,338,62,950,700
7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5,1,700,735,50,200,810,130,540,996.6,339,57,980,500
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,1,720,725,50,465,860,40,110,996.2,341,39,1090,500
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,1,720,725,50,465,860,40,110,996.2,341,39,1090,500
7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5,1,750,520,110,150,790,110,390,996.8,342,58,960,500
6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5,1,660,705,70,160,760,60,150,996.2,344,58,1070,500
9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5,1,930,320,570,200,740,270,650,996.9,328,79,1070,500
8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,6,1,800,705,50,190,740,80,190,996.2,334,95,1050,600
7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,6,1,770,630,80,190,760,150,270,996.7,332,54,950,600
7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5,1,770,670,230,210,880,170,960,996.2,332,48,950,500
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5,1,770,690,220,190,840,180,940,996.1,331,48,950,500
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4,1,830,675,260,210,840,110,430,997.6,331,53,920,400
9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,5,1,970,320,540,250,940,280,830,998.4,328,82,960,500
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5,1,880,410,640,220,930,90,420,998.6,354,66,1050,500
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5,1,880,410,640,220,930,90,420,998.6,354,66,1050,500
6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6,1,680,785,0,240,1040,140,300,996.6,352,55,1070,600
6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5,1,670,750,120,200,860,120,800,995.8,338,52,1010,500
8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4,1,830,625,200,150,800,270,1190,997.2,316,112,910,400
6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5,1,620,450,200,160,690,30,150,995.8,341,56,920,500
7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,5,1,780,430,700,190,4640,220,670,997.4,313,128,940,500
7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5,1,740,500,470,200,860,210,730,997,336,57,910,500
7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5,1,730,670,260,180,4010,160,510,996.9,316,114,940,500
6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6,1,630,300,480,180,690,180,610,995.9,344,78,1030,600
6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5,1,690,550,150,220,760,190,400,996.1,341,59,1010,500
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,1,860,490,280,190,1100,200,1360,997.2,293,195,990,600
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,1,770,490,260,190,620,90,310,996.6,339,64,960,500
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5,1,930,390,440,210,1070,340,1250,997.8,314,122,950,500
7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,5,1,700,620,80,180,760,80,240,997.8,348,53,900,500
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5,1,790,520,260,190,790,420,1400,996.4,323,54,950,500
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,1,860,490,280,190,1100,200,1360,997.2,293,195,990,600
8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5,1,860,490,290,200,1100,190,1330,997.2,293,198,980,500
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,1,770,490,260,190,620,90,310,996.6,339,64,960,500
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4,1,500,1020,40,140,450,410,850,993.8,375,48,1050,400
4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6,1,470,600,170,230,580,170,1060,993.2,385,60,1290,600
6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5,1,680,775,0,300,1020,80,230,996.5,345,56,1070,500
7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,5,1,700,500,250,200,700,30,220,996.3,325,63,920,500
7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5,1,760,900,60,250,790,50,100,996.7,339,56,980,500
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,1,810,545,180,190,800,130,350,997.2,330,59,900,600
8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6,1,830,610,300,210,840,110,500,997.2,340,61,1020,600
7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,6,1,780,500,300,190,750,80,220,995.9,331,56,1040,600
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,1,810,545,180,190,800,130,350,997.2,330,59,900,600
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,1,810,575,220,210,770,120,650,996.7,329,51,920,500
7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,5,1,720,490,240,220,700,50,360,996,333,48,940,500
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,1,810,575,220,210,770,120,650,996.7,329,51,920,500
7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,5,1,780,410,680,170,4670,180,690,997.3,308,131,930,500
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5,1,620,630,310,170,880,150,640,996.9,346,79,930,500
8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6,1,800,330,530,250,910,180,800,997.6,337,80,960,600
8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,5,1,810,785,520,200,1220,370,1530,996.9,321,69,930,500
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,1,780,560,190,180,1040,120,470,996.4,319,93,950,500
8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5,1,840,620,90,220,840,110,1080,996.4,315,66,980,500
8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5,1,840,600,100,220,850,140,1110,996.4,315,66,980,500
10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6,1,1010,310,440,230,800,220,460,998.8,332,67,970,600
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,1,780,560,190,180,1040,120,470,996.4,319,93,950,500
9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,6,1,940,400,310,220,900,130,620,996.6,307,63,1050,600
8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,6,1,830,540,280,190,770,110,400,997.8,339,61,1000,600
7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,6,1,780,560,120,200,820,70,280,997,337,50,940,600
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,1,880,550,40,220,1190,140,560,996.2,321,60,1090,600
7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6,1,700,690,80,180,970,220,890,995.9,334,54,920,600
7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,5,1,730,1070,90,170,1780,100,890,996.2,330,57,900,500
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,1,880,550,40,220,1190,140,560,996.2,321,60,1090,600
7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,5,1,730,695,0,250,750,30,130,998,349,52,920,500
8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5,1,800,710,0,260,800,110,340,997.6,344,53,950,500
7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,5,1,780,500,170,160,820,210,1020,996,339,48,950,500
9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5,1,900,620,40,190,1460,270,900,998.4,316,70,940,500
8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5,1,820,1330,0,170,810,30,120,996.4,353,49,1090,500
8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5,1,810,1330,0,180,820,30,120,996.4,354,48,1090,500
8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7,1,800,590,160,180,650,30,160,996.2,342,92,1050,700
6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,5,1,610,380,150,180,720,60,190,995.5,342,57,940,500
8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,5,1,800,745,560,200,1180,300,1340,996.8,324,66,940,500
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,1,560,500,90,230,490,170,990,993.7,363,63,1300,500
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,1,560,500,90,230,490,170,990,993.7,363,63,1300,500
6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,6,1,660,500,10,150,600,170,260,995.2,340,58,980,600
7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6,1,790,1040,50,220,840,130,290,995.9,322,55,990,600
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,1,840,745,110,190,900,160,630,996.5,319,82,960,500
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5,1,830,715,150,180,890,100,520,996.8,323,77,950,500
7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,5,1,720,415,360,200,810,130,450,997.2,348,64,920,500
7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,5,1,780,560,190,210,810,150,1050,996.2,333,54,950,500
7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,5,1,780,560,190,200,810,170,1080,996.2,332,54,950,500
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,1,840,745,110,190,900,160,630,996.5,319,82,960,500
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5,1,830,715,150,180,890,100,520,996.8,323,77,950,500
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,1,520,340,0,180,500,270,630,991.6,368,79,1400,600
6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,5,1,630,390,80,170,660,30,200,995.4,334,58,940,500
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,1,520,340,0,180,500,270,630,991.6,368,79,1400,600
8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,5,1,810,670,550,180,1170,320,1410,996.8,317,62,940,500
5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,5,1,580,680,20,180,870,210,940,994.4,354,52,1000,500
7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,5,1,760,490,260,160,2360,100,880,996.8,311,80,930,500
6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,6,1,690,490,100,230,740,120,300,995.9,342,58,1020,600
8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,6,1,820,400,440,280,890,110,430,997.5,353,61,1050,600
7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,6,1,730,330,470,210,770,50,110,995.8,333,53,1030,600
9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,4,1,920,520,1000,340,6100,320,690,999.6,274,200,940,400
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,1,750,600,30,180,950,250,990,995,335,54,1010,500
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,1,750,600,30,180,950,250,990,995,335,54,1010,500
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5,1,710,430,420,550,700,290,1290,997.3,342,72,1050,500
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,1,710,430,420,550,710,280,1280,997.3,342,71,1050,500
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5,1,710,430,420,550,700,290,1290,997.3,342,72,1050,500
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,1,710,430,420,550,710,280,1280,997.3,342,71,1050,500
7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5,1,710,680,0,220,730,120,220,996.9,348,50,930,500
6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,6,1,680,600,180,190,790,180,860,996.8,359,57,930,600
7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,5,1,760,950,30,200,900,70,200,995.9,320,56,960,500
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,4,1,760,680,20,130,720,90,200,996.5,317,108,920,400
7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,6,1,780,530,40,170,760,170,310,996.4,333,56,1000,600
7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,5,1,740,600,260,730,700,360,1210,998.2,337,49,940,500
7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,5,1,730,590,260,720,700,350,1210,998.1,337,49,940,500
7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,5,1,780,630,480,170,1000,140,960,996.1,319,62,950,500
6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,5,1,680,640,100,210,850,180,1010,995.6,334,52,1020,500
7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4,1,730,550,30,160,720,170,420,995.6,337,48,900,400
6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,6,1,680,630,70,210,890,110,440,995.3,347,55,1040,600
7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,5,1,750,705,240,180,3600,150,630,996.4,300,159,950,500
7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,4,1,790,885,30,180,580,40,80,997.2,336,33,910,400
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6,1,800,420,170,200,730,60,180,997.2,329,61,920,600
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6,1,800,420,170,200,730,60,180,997.2,329,61,920,600
7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,6,1,740,620,50,190,680,240,420,996.1,342,57,1150,600
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5,1,730,380,210,200,800,70,350,996.1,333,47,950,500
6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,5,1,690,500,40,150,850,190,490,995.8,335,78,950,500
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5,1,730,380,210,200,800,70,350,996.1,333,47,950,500
7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,6,1,750,520,420,230,870,80,380,997.2,358,61,1050,600
7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5,1,700,805,0,250,680,70,200,996.9,348,56,960,500
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,1,880,610,140,240,670,100,420,996.9,319,59,950,500
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,1,880,610,140,240,670,100,420,996.9,319,59,950,500
8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,5,1,890,610,490,200,2700,230,1100,997.2,312,102,930,500
7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,5,1,720,730,20,250,760,160,420,997.2,344,52,930,500
6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5,1,680,610,200,180,770,110,650,997.1,354,58,930,500
6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,6,1,670,620,210,190,790,80,620,997,352,58,930,600
8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,5,1,890,310,570,200,1110,260,850,997.1,326,53,970,500
7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5,1,740,390,480,200,820,140,670,997.2,334,55,920,500
7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,5,1,770,705,100,260,840,90,260,997.6,339,49,970,500
7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,5,1,790,500,330,200,840,150,1430,996.8,320,55,950,500
7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,5,1,790,490,320,190,820,170,1440,996.8,320,55,950,500
8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,5,1,820,500,350,290,770,210,1270,997.6,323,62,940,500
